id;keep;a1;a2;lang_ok;noise;notes;text
17279;yes;neutral;neutral;yes;no;;Чэ манан бутэн эриэм,кэнники тугу эрэ суруйуом
16533;yes;negative;negative;yes;no;;Туох куьаган, хара санаалаах дьонноруй
21525;yes;neutral;neutral;yes;no;;Дэнэр тэрил тугу туһалыырый
13066;yes;neutral;neutral;yes;no;;Пaвлов Юрик ханна тиийдэ
11325;yes;negative;negative;yes;no;;Аймах мин хаартыны чыыстай оонньооботох устуукам чиэhинэ пикала эрэ хараап эрэ уонна абааhы корооччубун
4068;yes;neutral;neutral;yes;no;;Тииҥ этэ крест рынокка атыылыыллар дуо
24091;yes;neutral;neutral;yes;no;;Уксубут да оннук сылдьар ини
17798;yes;neutral;neutral;yes;no;;Таптарбыт буолан биллибэтэ5э буолуо диэн буолбута
14862;yes;neutral;neutral;yes;no;;"Дьяконов Буоккэни""Кальмары""ким билэр комолоьун"
24726;yes;neutral;neutral;yes;no;;онно улахан сатабыл надата суох, мин санаабар улахан разница суох
16425;yes;negative;neutral;yes;no;;Эмансипированнай, культур-мультур дьахталлар олороллор дуу, өйдүүн-санаалыын биир эмэ сахалыы иитиилээх дьахтар баара буолуо дуу
7304;yes;neutral;neutral;yes;no;;Ньургуйаана булуу этэ дуо
9199;yes;neutral;neutral;yes;no;;Александра Ивановна Платонова (Захарова), Дириҥҥэ агрооскуолаҕа завуч этэ
5259;yes;neutral;neutral;yes;no;;тарасиктаах алена амма5а быьылаах,окси коракка
3581;yes;neutral;neutral;yes;no;;Туох омугуй Попов
8288;yes;negative;negative;yes;no;;Дир мелтех киьи улэтин кыайбат сатаан да санарбат
24974;yes;negative;negative;yes;no;irony;Этимэ, муннукка хаайыы, кистии-саба манаһыы))
6552;yes;neutral;neutral;yes;no;;ХА НО убаайдаах эбиппит дуу
11506;yes;neutral;neutral;yes;no;;учугэйдик толкуйдаан куоластыахха наада
24265;yes;neutral;neutral;yes;no;;"""Саха ытын"" билигин борорстуой дьон булан ылара реальнай дуо"
10011;yes;positive;positive;yes;no;;Э5эрдэ буолуохтун земляки
20129;yes;negative;neutral;yes;no;;Ону киhи ойугэр баппат туох эрэ дьикти баар диэн ойдобулгэ кэлэ5ин
397;yes;positive;positive;yes;no;;Наhаа учугэй маама5ын, молодчина
26520;yes;positive;positive;yes;no;code-switching;миннарыйа, нет худа без добра диэн да
24928;yes;neutral;neutral;yes;no;;Кыыс диэки эргийэн кѳрбѳккѳ,
27413;yes;neutral;neutral;yes;no;;Бүтэһигинэн Зиналаах Надя тахсан кэллилэр
6625;yes;negative;negative;yes;no;;Туох аатаах лухаалаан та5ыстыгыт, лукачевскай буотахпын
21961;yes;neutral;neutral;yes;no;;,Байанай центрга биэстэ ытара баар этэ 54 тр
6750;yes;positive;neutral;yes;no;;Чуэчэ дирэктэрди олороро учугэй б858 буолла5а дьи,дьэдьэтэ5эр
11408;yes;neutral;neutral;yes;no;;Асер ханна суттун эмиэ дьигэ киирбит ди бадага кыыскын ким диэн сурэхтээтин
24532;yes;neutral;neutral;yes;no;;стипи, 15, кэлэн көрө сылдьаҕын дуо
14848;yes;negative;neutral;yes;no;;Ити ону маны дой5охтуур дьонно кыьанматка
27370;yes;neutral;neutral;yes;no;;Ханна-ханна сылдьыбыппыт буолла
5572;yes;neutral;neutral;yes;no;;Где вы то5о суттугут
8687;yes;negative;negative;yes;no;;Сайыммыт ууннэ да тымныыта сурэ бэрт олох куьун курдук
16728;yes;neutral;neutral;yes;no;;Сох сох группа
11433;yes;negative;negative;yes;no;;сэриини куертээччи илэ бэйэтинэн сылдьар бы4ыылаах
8589;yes;negative;neutral;yes;no;;Ону атын, үчүгэйдик олорор омук курдук көннөрөргө,аччыгыйа икки үйэ наада
4387;yes;neutral;neutral;yes;no;;Ийэ кунугэр анаан мероприятия буолбута, ааспыт неделя5а, Ньурбаттан МФЦ-лар, быраастар, психолог, тахсаннар дьону консультациялаатылар
26467;yes;positive;positive;yes;no;;девиз диэн сахалыытын билбэппин, табаарыһым Бигэ уол киирэн тылбаастыыр ини диэн эрэнэбин:))))
11316;yes;neutral;neutral;yes;no;;Хайа аймах пикаланы билбэккин ду
5218;yes;neutral;neutral;yes;no;;2001 ханна бааргытый
17605;yes;negative;positive;yes;no;uncertain;Ыарахана сурдээх ол да буоллар 4 киьи киьилиэхпит дуо тардан иьэбит
6049;yes;neutral;neutral;yes;no;;Нижний Бэстээххэ баар
15068;yes;positive;neutral;yes;no;;Биьиги Уоьээ-Булуулэр Доллу нэьилиэгэр ананан,тото-хана сахалыы аьаан, ыкса билсэн, сэьэргэьэн тар5аспыппыт
15292;yes;negative;negative;yes;no;;суруйбаккын дьи 9241733544
24779;yes;neutral;neutral;yes;no;;Чаархаан ыhыахчыт эhэ диэбитигэр дылы, урут Маалыкайга ыhыах
20897;yes;neutral;neutral;yes;no;;Чувак с Мурьи, Били салгыны хайытар кетеру этэгинда, Угуруе угруруе да
11311;yes;negative;neutral;yes;no;code-switching;Контакте закрывают группы посвященные суициду диэбиттэр
3660;yes;neutral;neutral;yes;no;;Тымныы о5онньор сыарҕатыныын,
23970;yes;neutral;neutral;yes;no;;"Дьэ дьыл5а оннук ""кустаппыт"""
19154;yes;negative;negative;yes;no;;Аны манна кэлэрэ буолуо, наьаа элбээтэ
10387;yes;neutral;neutral;yes;no;;Лина диэн кэргэннээх этэ
3474;yes;neutral;neutral;yes;no;;Онтон сахалы аата
22965;yes;negative;negative;yes;no;;Долбай буоллаан ди,чукча
18717;yes;neutral;neutral;yes;no;;Скс штыга баар диигин дуу
3829;yes;neutral;neutral;yes;no;;Бары кэлиҥ Саҥа Дьылга
19349;yes;positive;neutral;yes;no;;киллэрин эрэ кердеheбун, эрдэттэн махтал
3548;yes;negative;negative;yes;no;;Манна сахалыы форуму киртитимэ
26250;yes;negative;neutral;yes;no;;Дьэрбэ, онто даҕаны суох арамаантыка үлэлээх
15655;yes;negative;negative;yes;no;;"Кэбис манна билсиьиннэриэ суох эбит ""дьон"""
21652;yes;neutral;neutral;yes;no;;Лайка сыаната төһө буоларый
15127;yes;neutral;neutral;yes;no;;Попов гарик хайда5ый
13884;yes;positive;neutral;yes;no;;Гарик иккис кэргэннэммитэ, музыка учуутала тонулугэ
13474;yes;negative;neutral;yes;no;;Бадьарах атыыр да син уна-ханас бэрсэр боотурдардаах буолуохтаах, онон Папуалар наьаа айдааны таьаарбакка бу дьыаланы сабан кэбиьин, бу кутталлаах иирсээн симэлийбэтэ5инэ 3-ус ААН ДОЙДУ сэриитэ са5аланар иэдээнэ буолуо5а
15933;yes;negative;neutral;yes;no;;майгым ваще сытыары сымнахас
15820;yes;neutral;neutral;yes;no;;"Ханна арыйабын оччо5о ""растение"" ""домашние животные"" да"
16564;yes;neutral;neutral;yes;no;;Чуочэбин дьукаах кордуубун
6872;yes;negative;negative;yes;no;;кэргэнэ тобо5ун быhа тардыа
17300;yes;negative;neutral;yes;no;;соьуйбут дьон ойон турдулар
2250;yes;positive;neutral;yes;no;;Үс кырыыс оннугар Таҥара үс алгы предлагайдыыр
7095;yes;positive;neutral;yes;no;;устар 1 күнун , биир дойдулаахппыт айар биэчэригэр атаарын
2641;yes;neutral;neutral;yes;no;;Анаан сылдьыбаппын, эрээри атын куоракка экскурсияҕа игин баар буоллаҕына киирэн чүмэчи уматабын, суоттуга эмиэ баар ди, онно эмиэ киирэн уматыахпын сөп
3023;yes;positive;neutral;yes;no;;Билигин уонна күһүн кэлэн кулубтарга концерт көрө, спортивнай мероприятияларга эгин сырыт
15570;yes;negative;negative;yes;no;;Хантан эдэр кыыс диэн биллигит багар эр киьи уеннурэ олорор буолуо уксэ манна оннук кулуу элэк ,онон биир да биллэрии дьицнээх буолара саарбах
24434;yes;neutral;neutral;yes;no;;саха аборигеннай булчут ыппытын впкос-ка таьаарага дьиннээх племенной улэ барыахтаах,сельхозинститут,академияны улэлэтэн,учугэй хааннаах булчуттар ыттарын талан
16992;yes;neutral;neutral;yes;no;;Кырдьа5ас булчуппут манна сытыахпыт диэн куруэ таһыгар тирии тэллэхтэнэн урдугэр сыттыбыт, суеһу уну5а иннибитигэр 20-чэ миэтр курдук
1489;yes;neutral;neutral;yes;no;;Мин санаабар,сахалыы КУТ КИЛЛЭРИИ диэн ОБРЯД оноруохха наада
9356;yes;negative;negative;yes;no;;Эьиэхэ не интересно да, кыра дэриэбинэ сонуннара
24609;yes;neutral;neutral;yes;no;;былыргы хаартыскаларга кордохо киьи оттугунэн сылдьар ыттар ди алабай сага
16040;yes;neutral;neutral;yes;no;;Просто кэпсэтиэххэ сеп
27311;yes;neutral;neutral;yes;no;;- Чэ барыахха
626;yes;negative;negative;yes;no;;Уонна аны суруйбаппын эйиэхэхэ
15544;yes;positive;neutral;yes;no;;Оо дьэ киьи кулуех, се5уех курдук кэпсэтэ5ит ди
13137;yes;negative;negative;yes;no;;Мукучулар хайдах утуйаалан баран барытын тулуйан олоробутуй
3858;yes;positive;positive;yes;no;;Тыыннаах күөх кэрэни аныыбын
23511;yes;neutral;neutral;yes;no;;Лицензияҥ срока 6 ый
18399;yes;neutral;neutral;yes;no;;Fabarm хайдах сааный
9197;yes;neutral;neutral;yes;no;;дима 8 кылаас, айаал 6 кылаас, маша 4 кылаас
16308;yes;neutral;neutral;yes;no;;Интимнээх эрэ билсэбин
10933;yes;negative;negative;yes;no;;хайдах эрэ нето ба5айы
26896;yes;positive;neutral;yes;no;;Дууһам тылын таарыйан
5053;yes;positive;negative;yes;no;;Биир да Танданы сэнээрэр киьи суо5а то5о бэрдэй, до5оор
18111;yes;negative;negative;yes;no;;кусчуттар да саас суол суох кус да наһаа таарыйбат буолан бэйэбит эрэ хаһаайынныыбыт сааһын дьэ киһибин кэтэһэргэ сананным крышаны кириэппэс оҥостон ремоннаабытынан бардым хата сиэрдийэ баар буолан икки өртүн бүөлээтим күүлэ туллубут муосталарын таһааран орон оҥостон онно 3түүн киһим кэлиэр дылы хонон турдум арба өрдөөҕү тостубут уктаах анньыыны булан уктаан үҥүү оҥостон ыбылы сытыылаан күнүстэри олох тута сырыттым ону санаатахпына билигин да куйахам күүрэн ылар
22613;yes;neutral;neutral;yes;no;;Билиҥҥи сыанатын билбэтим
6248;yes;neutral;neutral;yes;no;;Сана учуутал Нарыйа афанасьевна
6890;yes;neutral;neutral;yes;no;;1963 дуу 64 дуу с
4480;yes;neutral;neutral;yes;no;;Елизарова Светлана Сергеевна математика учуутала этэ дии, кини билигин ханна баара буолла
20298;yes;neutral;neutral;yes;no;;Экраан кытарбат диэ
5513;yes;neutral;neutral;yes;no;;работаю в жкх
14518;yes;positive;neutral;yes;no;;таптал баар бо ардыгар таптабатах ордук
19922;yes;negative;neutral;yes;no;;мин собо уурдахпына киирбэт , тасыгар распиловка кырпах эт ыстахпына сиэбэтэх болар
23538;yes;neutral;neutral;yes;no;;Хоту хайдага буолла
10226;yes;positive;positive;yes;no;;Биир дойдулаахтарбар УРУЙ АЙХАЛ буолуохтун
8608;yes;neutral;neutral;yes;no;;Кинилэр сокуоннара кытаанах буолан төрөппүттэрэ наһаа мөхпөттөр
22994;yes;neutral;neutral;yes;no;;Бэрт борустуой ити аныгы вариант, былыргыны көллөрөн эрэ биэрдэххэ өйдүөҥ
21333;yes;neutral;neutral;yes;no;;(сана буотах, эргэ капкааннар)
13616;yes;neutral;neutral;yes;no;;мин да тумуллары ыйытаары кэтэьэбин
17004;yes;negative;neutral;yes;no;;2 миэтр курдук чугас эһэюит хаһыыта иһиллиннэ уонна теттеру куотар тыаһа иһилиннэ
23307;yes;neutral;neutral;yes;no;;000 бугун кордум
2898;yes;negative;negative;yes;no;;Со5отох хаалбыт ийэ, дирин кутур5аммын тиэрдэбин
24079;yes;negative;negative;yes;no;;ити саханы сурэ5э суох онорбут дьарык
21251;yes;positive;neutral;yes;no;;Мин биир куьун сайылык урдугэр кэтии сылдьыбыты,онно мончуктаах сыппытым олох туспэт этэ
14654;yes;neutral;neutral;yes;no;;кэргэн тахсыбыта быьылаах
7578;yes;positive;neutral;yes;no;;Артур Сокорутов Уус-Алдан Кэптэнитигэр Машатынаан биэс о5олоох быр-бааччы ыал буолан олорорун билэбин
16368;yes;neutral;neutral;yes;no;;света, 6 см билээри секстэккэ наадоо буо тетялаар, бастаан
14359;yes;negative;negative;yes;no;;Ол спортзaл туох дa тыбыс-тымныы ини билигин
15289;yes;neutral;neutral;yes;no;;Эьиги ханна олорогут
2414;yes;positive;neutral;yes;no;;40 хонук кэнниттэн тереебут Чурапчым урдугэр ыстаран кэбиьиэм)))
16164;yes;neutral;neutral;yes;no;;харчы кредит диэн
24481;yes;neutral;neutral;yes;no;;көрүҥэр уонна бултуур хаачыстыбатыгар сүрүн болҕомтону ууран
1555;yes;negative;neutral;yes;no;;Ол содула күннээ5и харах далыгар кестерүн бэйэбит да ейдеен кербеппүт
13633;yes;neutral;neutral;yes;no;;Ити Барашков Ариан диэн кимнээххэ кутуетуй
516;yes;neutral;neutral;yes;no;;Тебе ыарыыта туох биричиинэттэн буолбутун быьаар уонна ол биричиинэтин туорат
9822;yes;neutral;neutral;yes;no;;Биьиги балыктаатыбыт, куох луук хаьаанныбыт
20206;yes;positive;neutral;yes;no;;"Кстати, бу кысын биир бочуоттаах юбилярга ""Почетный охотник"" диэн знак уонна удостоверение биэрбиттэрэ, ол огонньор сроктан тутулуга суох бултуур буолар усу"
99;yes;negative;negative;yes;no;;суруй бассаап кэпсэтиэх манна сугуннээбэттэр быьылаах
9284;yes;neutral;neutral;yes;no;;ник нонуо хаалар ордук буолуо
3350;yes;negative;neutral;yes;no;;нам диэкки ойуур баhаара баар уhу
20799;yes;positive;neutral;yes;no;;Кынаатаххына хайдах табыан суо5ай
21238;yes;neutral;neutral;yes;no;;Илдьэ сылдьабын того хаалларыахпыный
15730;yes;positive;neutral;yes;no;;Эмэ-томо суох, бэйэм бырахпытым
12148;yes;neutral;neutral;yes;no;;Выпуск 94 год
2507;yes;neutral;neutral;yes;no;;ханныгын, хайда5ын тустаах айдарыылаах дьону кытта сүбэлэьэн, сөбүлэьэн туох, хайдах буолла5ына сатанарын хамнастаах үлэьиттэр быьаарыа этилэр буо
21523;yes;negative;neutral;yes;no;;Кинилэри сайыспыт буоллахпына
26851;yes;neutral;neutral;yes;no;;Аһаан баран, тахсан табаахтаан бур5ата олордохпутуна, ГАЗ-51 массыына кэлэн тохтуу биэрдэ
6400;yes;positive;positive;yes;no;;Ньурба Малдьа5ардара дорооболорун
7786;yes;neutral;neutral;yes;no;;Кто нить что нить слышал
7090;yes;neutral;neutral;yes;no;;мэнэлэр комолосун эрэ Моорук суолатыттан сылдьар апрсимова пашаны кордуубун ханна баарый кэргэннээх
15112;yes;negative;neutral;yes;no;;Алёша олох наар улэ да улэ,к8рс8р да,кэпсэтэр да солото суох буолачы
13677;yes;neutral;neutral;yes;no;;Биир бириэмэни болдьоhон баран тэннэ кэпсэппит киhи
7603;yes;neutral;neutral;yes;no;;94-95 оржанкаҕа общагаҕа олорбутун дуо
17191;yes;negative;negative;yes;no;;эйигин тыыппат буолла5ына то5о бултаары гына5ын
7821;yes;neutral;neutral;yes;no;;Ол гынан баран мин са5ана оннук баара дуу
3189;yes;neutral;neutral;yes;no;;Сир дойдуну уоту аьатабыт онон бутэр
8922;yes;neutral;neutral;yes;no;;ытык кюльтэн сылдар талах курдаах гоголев кешаны ким билэрэээй
15492;yes;neutral;neutral;yes;no;;Биир уоллаахпын сааһым 46 оннук барсар да
7131;yes;neutral;neutral;yes;no;;Буолар Кэмэ: Ыам ыйын 19 күнэ, 18
10575;yes;neutral;neutral;yes;no;;Улуустар форумнарын киирэн көр,быйыл эрдэ буолаллар,12-19
