text,label
Урут 1990 сс сылларга Орто Халыма5а улэлээбитэ,neutral
"Чкаловка да Саҥа Дьылга туох эмэ тэрээһин буолла ини, билэр дьон суруйуохтара",positive
"30 Бог не вменил нам в вину времена неведения нашего, но теперь повелевает всем людям повсюду покаяться",neutral
Алаас кыыһа аатын кимий,neutral
Найахы хора Омскайга ыллыы барар буолбут,positive
Эн тлф хаалларбакка хайдах ХАЬААЙКАга киирэгин,neutral
"Дьонум: ""Эьэ сылдьар""-дииллэр",negative
eгоркaлaaх дьыaлaлaрa хaйaспытый,neutral
Медосмотр (ханнык быраастары бараргын этиэхтэрэ ),neutral
"Онно уьус куммутун эмиэ хоннубут, биир убай син ойдонон олоруста, 14 олордубут",neutral
"Маастар да сах да буол, манна Малдьа5арга боростой любой ыччат эйигин биир бииргэ по любак тоhутар",negative
Туора кетееччуну олох дэн кэриэтэ туьэрэбин,negative
Мааматтан привет) кэлэн иьэр сана дьылынан э5эрдэ,positive
Ханка күөлгэ толору кусчут,neutral
Гитара5а оонньуур форумчаннар бааргыт дуо,neutral
н бааргын ду,neutral
Дьэ оннук хамнастаах улэни хантан булабын,negative
"Туртаьы бултаан бо, уонна оптики илдьэ сылдьар ордук",neutral
Мин быйыл эрэ сылдьыбатым,neutral
КондакСаргы диэн хайдах кыыьый,neutral
сордоох да дьоннут ди,negative
мин кынаатым да табабын,neutral
Ким миигин биллбиккэ привет Лана,positive
Мин бултуу-балыктыы баран икки-үс хонон кэллэхпинэ саҥарыах курдуктар,neutral
"Христианнар бары норуоттарга барыларыгар бааллар, бэл джунглига олрор норуоттар ылынаналлар",neutral
Многие простые граждане будут немного удивлены: почему такие расходы на парламентариев,negative
Ону хайгыахха эрэ наада,positive
Тулагы икки Ханалас ыккардынан островка протокаха бэьээ киирэн олордум,neutral
"Баар декумуоннаах, атыылыам 89644197142",neutral
"Ити ыраа5ы корбот, олох кыра ойдоох киси майгыта",negative
"Ийээ, аҕаа, үрүҥ күн –",positive
Ардыгар сыыстарар да буолар,neutral
Кэнники устуута олох куhаган,negative
ото мин боппуруоспар то5о эппиэттээбэккит,negative
"Саам ежектора алдьанан хаалла кимиэхэ эмит баар буоларай, алдьаммыт игин саа",negative
"Дьахтар көрдүү, Эр көрдүү киирэллэр, ыал дьон эрээри манна тоҕо суруйаллара буолуой",negative
2 чаас курдук медосмотр бардым,neutral
Харана халлаанна со5отох ыйдана,neutral
Сотору ытым төрүүр,positive
кимнээх эбиттэрэ боллар,neutral
Дьахтар курдуккун бы4ылаах,negative
Сырдат диэн тугу эттин,neutral
"яковлeв вaлeрa 1984или 1985сыллaaх мaстaх уолa,хaннa тиийдэ,тугу дьыaлaйдыр,о5о уруу",neutral
"» - диэтэргин,",neutral
Если надо будет сырайыгар этэммин таах приземли гыныахпын соп,negative
доготторум барахсаттар хата уоhээ тахсыбыппыт ди,positive
"Туохха сытарый Иисус олоҕун, уонна өлүүтүн суолтата",neutral
Хас сарсыарда аайы 1,neutral
хайдах буола сылдьарый,neutral
"Кинилиин туруга санаата ордуга боло, уоскулаҥ кут сүр олохтуура боло, ол өттүн көр, төһө да кырасаабыссаҥ иһин, кут сүр уоскулаҥын биэрэ сатыан этэ буоллаҕа, кытаат",positive
Бэйэтэ 1976 сыллаах,neutral
"Оройбунан дьэ кердум,",neutral
То5о эрэ дивизион таьыгар истиэпкэ сылдьарбытын хайа да аппыьыар бопсубат,negative
"Ахтабын билигин,саныыбын эйиигин",positive
"Чаппандалар бэйэ бодо5утун тардынын, беьуелэккит уутун хаарын хорон туьэрин",positive
Ону биир чааhын уларыттахха атыныгар охсуута суох дуо,negative
Вепрь 308 L590 ОРДУК,positive
Муора игин тохтоото5о ди,neutral
"Тугу түһээтин диэтэхпинэ, эн Ийэҥ үрэх аннараа кытылыгар туран миигин ыҥырар дьиэтти",neutral
Заводуттан заказтыахха сеп,neutral
"мелкашканан куттал суох буоллаҕына ыппатах ордук,араанньы эрэ оҥоруон,ол кэнниттэн бэйэҕин конкретно бултаһыан сөп,оннук дьаһаннаҕына итог 90-10 ҥа кини туһатыгар",negative
Программата хайда5ый улэhит биллэр эрэ,neutral
"Оо Майя барахсан билсиһиини сөргүппүт махтал, дьэ билсиһиэхпит буоллага",positive
Бука барыгытын саха сирин күнүнэн,positive
"3, Майя бэйэтэ кими кытта билсэрий",neutral
"Мин истинник,киин сиртэн туетэлиин догордоьорго,кер-нарга сылдьарга,догордоьуом этэ",positive
билсиэх киһи көрү-нары сөбүлээбэппин),negative
Ким доҕордоох- ол дьоллоох,positive
Сандра оччого мин кимциний,neutral
"Элигиэт, эн киси буоллагын дии",neutral
"offen, Сандра мин догоро суох буоллахпына хайа белеххе сыьыарара буолла",negative
Үтүө күн буоллун,positive
Керсуе киьи килбиэнэбин,positive
Күөх Маайынан эҕэрдэ,positive
"55-60 саастаах чөл олохтоох, үлэлиир огдообо эр киһини кытта билсиэм этэ",positive
Маай бырааьынньыктарынан сохотохсуйбут дьоьун дьонум,positive
"бугун арыгы исиьэр дьахтар баар дуо маайынан сибээстээн, онтон тохсус маайга эмиэ тэннэ исиьэр асаьар туетэ наада харчы элбэх Дьиэ да баар сууллаары да турар буоллар",positive
Эн Эр дьон аатын того туьэрэгин,negative
"Дорооболоруҥ,параады көрөн келлим,тоҥнум да буоллар",positive
За 50 буолбатах этэ да топ,neutral
Параад буолар кун наар тымныы бахайы буолар дии,negative
"Мин тел нен,уе киирэр буолан были проблемы с мини-оперой",negative
Урут 6 тыь,neutral
"Этээппин оҕолуу хомойуоҥ,",negative
Опекунстванан ылбыт ийэм быраата а5ам тэнэ киhи былырыын массына5а аварияланан 8лбvтэ,negative
"Суурэн, кетен иьэри икки хараххынан керен опережениялаан ытахын, оччохо сыалгын булларахын",positive
Онон 11-тэн дьэ биллиэ сиикэрэлээн,neutral
МВЯ - 2011 кыттан эрэбин,neutral
мин дойдубар кэлэн астына дуоьуйа ахн сылдьабн))))) тох да наадата сох~)))) кимнэх 8сс8 бааргытый,positive
сааһа 40-тэ буолуон сөп,neutral
"буолар выстапкаларга саха ыта наар бутэьиккэ рингэлэнэр,ааьан иьэн диэбит курдук,туох та промердааьын энин диэн суох,харах холуйуутунан,уонна саха ыта манан эрэ буолуохтаах диэн сыыьа ойдобул баар",negative
"Горохова сардаана диэн баара дии,абытайдаах кыыс",positive
"Түөрт диэн түөрт,",neutral
Олус учугэйдик суруйбуккун,positive
"Аполлон биьиги кэккэбитигэр хомойуох иьин суох(((, Кутилова Москва5а кеспут",negative
"Сана дьылынан, ороьооспонон, крещениенан оссо ыьыах чугаьаабытынан (на всякий случай)",positive
"Арааста, «били ас» кыаттарбакка кэтэһэ сыппыт бадахтаах",negative
Уонна туохтан да иннибэккэ дьиэ-уот улэтин аа-дьуо оноро сылдьыам эте,positive
"НАҺАА улахан, үрдүк тыатаа5ы эбит",neutral
барааччылар кытаатан миэстэлэ4эн кэлин диэн ал5ыыбыт,positive
Бvгvн киhи баар сарсын уже суох,negative
"сотору кэминэн куус комо буолуохтара ди, билигин да комолоьоллоро буолуо",positive
ол үс-түөрт киһиттэн биирдэстэрин - илэ Саха Тылын таҥаратын курдук көрөр дьон баар ээ),negative
Мин олохпун уонна тиллиибин ким Миигин итэҕэйбит өллөҕүнэ да Мин бүтэһик күҥҥэ тилиннэриэм диир,negative
", эчи ынырыгын",negative
Аполлон туох буолбутай,neutral
"Билин,н,и эдэр ыччат оннук мустан оонньуу-к8рулуу сылдьарын к8р8 иликпин",negative
"чэ,соседтар наьаа кыыьырсыман",negative
Түннүгүм анныгар түспүтэ,neutral
Ол журналы керен биэрэллэр буолла5а,neutral
"Чаппанда оскуолатын бутэрбиттэр, атын тыа о±олоро эмиэ – бары оччолорго со±отох орто оскуола±а (1 №-дээх оскуола±а) киирэр этибит",neutral
Таатталар талах курдаахпыт,positive
5 киьибит правительство5а улэлииллэр дии,neutral
"Чэ манан бутэн эриэм,кэнники тугу эрэ суруйуом",neutral
"Туох куьаган, хара санаалаах дьонноруй",negative
Дэнэр тэрил тугу туһалыырый,neutral
Пaвлов Юрик ханна тиийдэ,neutral
Аймах мин хаартыны чыыстай оонньооботох устуукам чиэhинэ пикала эрэ хараап эрэ уонна абааhы корооччубун,negative
Тииҥ этэ крест рынокка атыылыыллар дуо,neutral
Уксубут да оннук сылдьар ини,neutral
Таптарбыт буолан биллибэтэ5э буолуо диэн буолбута,neutral
"Дьяконов Буоккэни""Кальмары""ким билэр комолоьун",neutral
"онно улахан сатабыл надата суох, мин санаабар улахан разница суох",neutral
"Эмансипированнай, культур-мультур дьахталлар олороллор дуу, өйдүүн-санаалыын биир эмэ сахалыы иитиилээх дьахтар баара буолуо дуу",negative
Ньургуйаана булуу этэ дуо,neutral
"Александра Ивановна Платонова (Захарова), Дириҥҥэ агрооскуолаҕа завуч этэ",neutral
"тарасиктаах алена амма5а быьылаах,окси коракка",neutral
Туох омугуй Попов,neutral
Дир мелтех киьи улэтин кыайбат сатаан да санарбат,negative
"Этимэ, муннукка хаайыы, кистии-саба манаһыы))",negative
ХА НО убаайдаах эбиппит дуу,neutral
учугэйдик толкуйдаан куоластыахха наада,neutral
"""Саха ытын"" билигин борорстуой дьон булан ылара реальнай дуо",neutral
Э5эрдэ буолуохтун земляки,positive
Ону киhи ойугэр баппат туох эрэ дьикти баар диэн ойдобулгэ кэлэ5ин,negative
"Наhаа учугэй маама5ын, молодчина",positive
"миннарыйа, нет худа без добра диэн да",positive
"Кыыс диэки эргийэн кѳрбѳккѳ,",neutral
Бүтэһигинэн Зиналаах Надя тахсан кэллилэр,neutral
"Туох аатаах лухаалаан та5ыстыгыт, лукачевскай буотахпын",negative
",Байанай центрга биэстэ ытара баар этэ 54 тр",neutral
"Чуэчэ дирэктэрди олороро учугэй б858 буолла5а дьи,дьэдьэтэ5эр",positive
Асер ханна суттун эмиэ дьигэ киирбит ди бадага кыыскын ким диэн сурэхтээтин,neutral
"стипи, 15, кэлэн көрө сылдьаҕын дуо",neutral
Ити ону маны дой5охтуур дьонно кыьанматка,negative
Ханна-ханна сылдьыбыппыт буолла,neutral
Где вы то5о суттугут,neutral
Сайыммыт ууннэ да тымныыта сурэ бэрт олох куьун курдук,negative
Сох сох группа,neutral
сэриини куертээччи илэ бэйэтинэн сылдьар бы4ыылаах,negative
"Ону атын, үчүгэйдик олорор омук курдук көннөрөргө,аччыгыйа икки үйэ наада",negative
"Ийэ кунугэр анаан мероприятия буолбута, ааспыт неделя5а, Ньурбаттан МФЦ-лар, быраастар, психолог, тахсаннар дьону консультациялаатылар",neutral
"девиз диэн сахалыытын билбэппин, табаарыһым Бигэ уол киирэн тылбаастыыр ини диэн эрэнэбин:))))",positive
Хайа аймах пикаланы билбэккин ду,neutral
2001 ханна бааргытый,neutral
Ыарахана сурдээх ол да буоллар 4 киьи киьилиэхпит дуо тардан иьэбит,negative
Нижний Бэстээххэ баар,neutral
"Биьиги Уоьээ-Булуулэр Доллу нэьилиэгэр ананан,тото-хана сахалыы аьаан, ыкса билсэн, сэьэргэьэн тар5аспыппыт",positive
суруйбаккын дьи 9241733544,negative
"Чаархаан ыhыахчыт эhэ диэбитигэр дылы, урут Маалыкайга ыhыах",neutral
"Чувак с Мурьи, Били салгыны хайытар кетеру этэгинда, Угуруе угруруе да",neutral
"Тымныы о5онньор сыарҕатыныын,",neutral
"Дьэ дьыл5а оннук ""кустаппыт""",neutral
"Аны манна кэлэрэ буолуо, наьаа элбээтэ",negative
Лина диэн кэргэннээх этэ,neutral
Онтон сахалы аата,neutral
"Долбай буоллаан ди,чукча",negative
Скс штыга баар диигин дуу,neutral
Бары кэлиҥ Саҥа Дьылга,neutral
"киллэрин эрэ кердеheбун, эрдэттэн махтал",positive
Манна сахалыы форуму киртитимэ,negative
"Дьэрбэ, онто даҕаны суох арамаантыка үлэлээх",negative
"Кэбис манна билсиьиннэриэ суох эбит ""дьон""",negative
Лайка сыаната төһө буоларый,neutral
Попов гарик хайда5ый,neutral
"Гарик иккис кэргэннэммитэ, музыка учуутала тонулугэ",positive
"Бадьарах атыыр да син уна-ханас бэрсэр боотурдардаах буолуохтаах, онон Папуалар наьаа айдааны таьаарбакка бу дьыаланы сабан кэбиьин, бу кутталлаах иирсээн симэлийбэтэ5инэ 3-ус ААН ДОЙДУ сэриитэ са5аланар иэдээнэ буолуо5а",negative
майгым ваще сытыары сымнахас,negative
"Ханна арыйабын оччо5о ""растение"" ""домашние животные"" да",neutral
Чуочэбин дьукаах кордуубун,neutral
кэргэнэ тобо5ун быhа тардыа,negative
соьуйбут дьон ойон турдулар,negative
Үс кырыыс оннугар Таҥара үс алгы предлагайдыыр,positive
"устар 1 күнун , биир дойдулаахппыт айар биэчэригэр атаарын",positive
"Анаан сылдьыбаппын, эрээри атын куоракка экскурсияҕа игин баар буоллаҕына киирэн чүмэчи уматабын, суоттуга эмиэ баар ди, онно эмиэ киирэн уматыахпын сөп",neutral
"Билигин уонна күһүн кэлэн кулубтарга концерт көрө, спортивнай мероприятияларга эгин сырыт",positive
"Хантан эдэр кыыс диэн биллигит багар эр киьи уеннурэ олорор буолуо уксэ манна оннук кулуу элэк ,онон биир да биллэрии дьицнээх буолара саарбах",negative
"саха аборигеннай булчут ыппытын впкос-ка таьаарага дьиннээх племенной улэ барыахтаах,сельхозинститут,академияны улэлэтэн,учугэй хааннаах булчуттар ыттарын талан",neutral
"Кырдьа5ас булчуппут манна сытыахпыт диэн куруэ таһыгар тирии тэллэхтэнэн урдугэр сыттыбыт, суеһу уну5а иннибитигэр 20-чэ миэтр курдук",neutral
"Мин санаабар,сахалыы КУТ КИЛЛЭРИИ диэн ОБРЯД оноруохха наада",neutral
"Эьиэхэ не интересно да, кыра дэриэбинэ сонуннара",negative
былыргы хаартыскаларга кордохо киьи оттугунэн сылдьар ыттар ди алабай сага,neutral
Просто кэпсэтиэххэ сеп,neutral
- Чэ барыахха,neutral
Уонна аны суруйбаппын эйиэхэхэ,negative
"Оо дьэ киьи кулуех, се5уех курдук кэпсэтэ5ит ди",positive
Мукучулар хайдах утуйаалан баран барытын тулуйан олоробутуй,negative
Тыыннаах күөх кэрэни аныыбын,positive
Лицензияҥ срока 6 ый,neutral
Fabarm хайдах сааный,neutral
"дима 8 кылаас, айаал 6 кылаас, маша 4 кылаас",neutral
Интимнээх эрэ билсэбин,neutral
хайдах эрэ нето ба5айы,negative
Дууһам тылын таарыйан,positive
"Биир да Танданы сэнээрэр киьи суо5а то5о бэрдэй, до5оор",positive
кусчуттар да саас суол суох кус да наһаа таарыйбат буолан бэйэбит эрэ хаһаайынныыбыт сааһын дьэ киһибин кэтэһэргэ сананным крышаны кириэппэс оҥостон ремоннаабытынан бардым хата сиэрдийэ баар буолан икки өртүн бүөлээтим күүлэ туллубут муосталарын таһааран орон оҥостон онно 3түүн киһим кэлиэр дылы хонон турдум арба өрдөөҕү тостубут уктаах анньыыны булан уктаан үҥүү оҥостон ыбылы сытыылаан күнүстэри олох тута сырыттым ону санаатахпына билигин да куйахам күүрэн ылар,negative
Билиҥҥи сыанатын билбэтим,neutral
Сана учуутал Нарыйа афанасьевна,neutral
1963 дуу 64 дуу с,neutral
"Елизарова Светлана Сергеевна математика учуутала этэ дии, кини билигин ханна баара буолла",neutral
Экраан кытарбат диэ,neutral
работаю в жкх,neutral
таптал баар бо ардыгар таптабатах ордук,positive
"мин собо уурдахпына киирбэт , тасыгар распиловка кырпах эт ыстахпына сиэбэтэх болар",negative
Хоту хайдага буолла,neutral
Биир дойдулаахтарбар УРУЙ АЙХАЛ буолуохтун,positive
Кинилэр сокуоннара кытаанах буолан төрөппүттэрэ наһаа мөхпөттөр,neutral
"Бэрт борустуой ити аныгы вариант, былыргыны көллөрөн эрэ биэрдэххэ өйдүөҥ",neutral
"(сана буотах, эргэ капкааннар)",neutral
мин да тумуллары ыйытаары кэтэьэбин,neutral
2 миэтр курдук чугас эһэюит хаһыыта иһиллиннэ уонна теттеру куотар тыаһа иһилиннэ,negative
000 бугун кордум,neutral
"Со5отох хаалбыт ийэ, дирин кутур5аммын тиэрдэбин",negative
ити саханы сурэ5э суох онорбут дьарык,negative
"Мин биир куьун сайылык урдугэр кэтии сылдьыбыты,онно мончуктаах сыппытым олох туспэт этэ",neutral
кэргэн тахсыбыта быьылаах,neutral
Артур Сокорутов Уус-Алдан Кэптэнитигэр Машатынаан биэс о5олоох быр-бааччы ыал буолан олорорун билэбин,positive
"света, 6 см билээри секстэккэ наадоо буо тетялаар, бастаан",neutral
Ол спортзaл туох дa тыбыс-тымныы ини билигин,negative
Эьиги ханна олорогут,neutral
40 хонук кэнниттэн тереебут Чурапчым урдугэр ыстаран кэбиьиэм))),positive
харчы кредит диэн,neutral
көрүҥэр уонна бултуур хаачыстыбатыгар сүрүн болҕомтону ууран,neutral
Ол содула күннээ5и харах далыгар кестерүн бэйэбит да ейдеен кербеппүт,neutral
Ити Барашков Ариан диэн кимнээххэ кутуетуй,neutral
Тебе ыарыыта туох биричиинэттэн буолбутун быьаар уонна ол биричиинэтин туорат,neutral
"Биьиги балыктаатыбыт, куох луук хаьаанныбыт",neutral
"Кстати, бу кысын биир бочуоттаах юбилярга ""Почетный охотник"" диэн знак уонна удостоверение биэрбиттэрэ, ол огонньор сроктан тутулуга суох бултуур буолар усу",positive
суруй бассаап кэпсэтиэх манна сугуннээбэттэр быьылаах,negative
ник нонуо хаалар ордук буолуо,neutral
нам диэкки ойуур баhаара баар уhу,negative
Кынаатаххына хайдах табыан суо5ай,positive
Илдьэ сылдьабын того хаалларыахпыный,neutral
"Эмэ-томо суох, бэйэм бырахпытым",positive
Выпуск 94 год,neutral
"ханныгын, хайда5ын тустаах айдарыылаах дьону кытта сүбэлэьэн, сөбүлэьэн туох, хайдах буолла5ына сатанарын хамнастаах үлэьиттэр быьаарыа этилэр буо",neutral
Кинилэри сайыспыт буоллахпына,negative
"Аһаан баран, тахсан табаахтаан бур5ата олордохпутуна, ГАЗ-51 массыына кэлэн тохтуу биэрдэ",neutral
Ньурба Малдьа5ардара дорооболорун,positive
Кто нить что нить слышал,neutral
мэнэлэр комолосун эрэ Моорук суолатыттан сылдьар апрсимова пашаны кордуубун ханна баарый кэргэннээх,neutral
"Алёша олох наар улэ да улэ,к8рс8р да,кэпсэтэр да солото суох буолачы",negative
Биир бириэмэни болдьоhон баран тэннэ кэпсэппит киhи,neutral
94-95 оржанкаҕа общагаҕа олорбутун дуо,neutral
эйигин тыыппат буолла5ына то5о бултаары гына5ын,negative
Ол гынан баран мин са5ана оннук баара дуу,neutral
Сир дойдуну уоту аьатабыт онон бутэр,neutral
ытык кюльтэн сылдар талах курдаах гоголев кешаны ким билэрэээй,neutral
Биир уоллаахпын сааһым 46 оннук барсар да,neutral
"Буолар Кэмэ: Ыам ыйын 19 күнэ, 18",neutral
"Улуустар форумнарын киирэн көр,быйыл эрдэ буолаллар,12-19",neutral
