"annotation_id","annotator","created_at","id","lead_time","label","text","updated_at"
13,"1","2025-02-11T12:28:19.947517Z",13,59.621,"Neutral","Өй­дөөҕүн даҕаны аҕыйахтык көрөрүм.","2025-02-11T12:28:19.947596Z"
14,"1","2025-02-11T12:28:40.362589Z",14,19.035,"Neutral","Ону ситиһэрбитигэр кинилэргэ анаан финансовай куурус ыытабыт, хас биирдии кэлбит киһиэхэ ыйдааҕы дохуоттарын, ороскуоттарын ааҕан биэрэммит, сүбэ-ама биэриэхпитин сөп.","2025-02-11T12:28:40.362668Z"
15,"1","2025-02-11T12:29:00.887236Z",15,19.363,"Neutral","Дьэ, онно ырыынак усулуобуйатыгар саҥа структуралары тэрийэн барбыта.","2025-02-11T12:29:00.887314Z"
16,"1","2025-02-11T12:29:39.248374Z",16,36.599,"Neutral","Арай кэлэр-барар сирэ суох хааллаххытына, ханна кэлэргитин билэҕит”, – диэн судургутук хоруйдуура.","2025-02-11T12:29:39.248450Z"
17,"1","2025-02-11T12:30:13.583402Z",17,32.821,"Positive","Түөрт сыл иһигэр 1-кы эрэсэрээттээх тустууктан олимпийскай чөмпүйүөн, аан дойду үс төгүллээх чөмпүйүөнэ буола үүнэрэ киһи өйүгэр баппат холобур.","2025-02-11T12:30:13.583485Z"
18,"1","2025-02-11T12:31:06.564547Z",18,51.338,"Neutral","Уурунуу үпкэ-харчыга сыһыаннааҕы – олорор дьиэни атыылаһыыны, үөрэх төлөбүрүн эбэтэр бэйэ дьарыгын тэриниини  уһун кэмҥэ торумнуурга төһүү буолар.","2025-02-11T12:31:06.564624Z"
19,"1","2025-02-11T12:32:01.487918Z",19,53.251,"Neutral","Бастаан Набережнайтан саҕалаан “Юность” эбии үөрэхтээһин киинигэр диэри территория оҥоһуллубута.","2025-02-11T12:32:01.488019Z"
20,"1","2025-02-11T12:32:33.397409Z",20,29.547,"Neutral","Ол түмүгэр, обургу оҕолор оонньуур, успуордунан дьарыктанар былаһааккалара тутуллубута.","2025-02-11T12:32:33.397947Z"
21,"1","2025-02-11T12:32:47.416816Z",21,12.116,"Neutral","Министиэристибэ тула бүддьүөттэн үбүлэнэр атын тэрилтэлэр, ГБУ-лар элбэхтэр.","2025-02-11T12:32:47.416893Z"
22,"1","2025-02-11T12:32:57.657177Z",22,8.477,"Neutral","Судьуйа уонна борокуруор кини албакаатын этиитин ылымматылар.","2025-02-11T12:32:57.657256Z"
23,"1","2025-02-11T12:33:42.664284Z",23,43.522,"Negative","Мария чаайын сыпсырыйа-сыпсырыйа умса туттан саҥара олордо.","2025-02-11T12:33:42.664368Z"
24,"1","2025-02-11T12:34:00.129549Z",24,16.291,"Negative","Иккис эһэм Ыстапаан 1930 с. кулаактанан сыылкаҕа бараахтаабыт.","2025-02-11T12:34:00.129629Z"
25,"1","2025-02-11T12:34:06.915802Z",25,4.785,"Neutral","Онно биэс уончалаах киһи тиийэн кэлбитэ.","2025-02-11T12:34:06.915880Z"
26,"1","2025-02-11T12:35:40.001766Z",26,91.555,"Positive","Билигин дьон-сэргэ үбүн-харчытын сүрдээҕин суоттанар, онон бырагырааманы ымпыктаан-чымпыктаан талаллар.","2025-02-11T12:35:40.001846Z"
27,"1","2025-02-11T12:35:56.284926Z",27,15.044,"Positive","Оттон алмаас көмүстээҕэр күндү, үрүҥ көмүстээҕэр ыраас уонна тимирдээҕэр кытаанах.","2025-02-11T12:35:56.285003Z"
28,"1","2025-02-11T12:36:05.459825Z",28,7.461,"Neutral","Кини биэс тыһыынча биэнсийэтигэр олор­буппут.","2025-02-11T12:36:05.459905Z"
29,"1","2025-02-11T12:36:18.085567Z",29,11.615,"Neutral","Табаhыттар Арассыыйатааҕы сойуустарын тэрээhиннэригэр Чукотка, Сахалин, Тыва, Саха сирин, Хабаровскай кыраай уо.","2025-02-11T12:36:18.085644Z"
30,"1","2025-02-11T12:36:31.733614Z",30,12.209,"Negative","Үчүгэй олохтоох дьон миэхэ сылдьыбаттар.","2025-02-11T12:36:31.733692Z"
31,"1","2025-02-11T12:38:01.248763Z",31,88.195,"Neutral","Кэлгиэлээх буолуон сөп, ону уҥуох тас өттүгэр өссө биир уһун синньигэс үөрбэ маһа көстүбүтэ туоһулуур.","2025-02-11T12:38:01.248844Z"
32,"1","2025-02-11T12:38:35.246537Z",32,32.186,"Neutral","Мэҥэ Хаҥалас Балыктааҕар оскуола дириэктэрэ Ирина Васильевна Черкашина көҕүлээһининэн, оскуола кэлэктиибэ бэйэтин күүһүнэн оскуолатын өрөмүөннээбитэ, интэринээтигэр үлэ бөҕөнү ыыппыта.","2025-02-11T12:38:35.246613Z"
33,"1","2025-02-11T12:38:52.822958Z",33,16.247,"Neutral","Арассыыйа күүһүн мунньан, ити чаастары Курскайга үлтүрүттэҕинэ, Украина утарылаһар күүһэ бүтэр” дииллэр.","2025-02-11T12:38:52.823044Z"
34,"1","2025-02-11T12:39:33.489248Z",34,39.103,"Positive","Кини бэйэтэ сопхуоска инженер-мэхээнньигинэн үлэлээбитэ эрээри, “Саха сирин ыччата хайаан да бырамыысыланнаска үлэлиэхтээх” диэн бигэтик эрэнэр этэ.","2025-02-11T12:39:33.489331Z"
35,"1","2025-02-11T12:40:32.030072Z",35,57.278,"Neutral","Барыларыгар көстөр гына Пушкин кинигэтин түбэһиэх арыйа баттаат, ааҕа-ааҕа күлэн сыһыгырыыра.","2025-02-11T12:40:32.030147Z"
36,"1","2025-02-11T12:40:59.657553Z",36,25.99,"Neutral","Инньэ гынан көрүллүбүт үп нэһилиэк олохтоохторугар хаалар.","2025-02-11T12:40:59.657629Z"
37,"1","2025-02-11T12:41:25.121829Z",37,23.917,"Neutral","Бу сибиинньэлэр турар сирдэрин үлтү хаһан, буору илдьиритэн, уоҕурдан оҕуруокка туһанарга  олус бэрт гына оҥоруох эбиттэр.","2025-02-11T12:41:25.121911Z"
38,"1","2025-02-11T12:41:35.023138Z",38,8.328,"Positive","Онно үлэһиттэрбит булугас, сытыы өйдөрө, үлэ хаамыытын тупсарарга дьулуурдара тирэх буолла.","2025-02-11T12:41:35.023219Z"
39,"1","2025-02-11T12:42:15.302095Z",39,33.601,"Negative","Ол курдук, арҕаалар кинилэр кигиилэринэн “бүтэһик украинецка” диэри сэриилэһэргэ сөбүлэспит “сабыдыал ааҕына” оҥостубут Зеленскэйдэрин куоттаран эрдэхтэрэ.","2025-02-11T12:42:15.302175Z"
40,"1","2025-02-11T12:42:39.450074Z",40,22.288,"Neutral","С. Степановтан “бу ким сирэй” диэн ыйыттым.","2025-02-11T12:42:39.450151Z"
41,"1","2025-02-11T12:42:46.182396Z",41,5.023,"Positive","Бары “үтүө дьыаланы оҥордорбун” диэн санаалаах кыттыспыттара.","2025-02-11T12:42:46.182474Z"
42,"1","2025-02-11T12:43:07.117793Z",42,19.581,"Negative","Эдэр дьон үөрэхтэрин бүтэрбиттэрин да иһин, тыа сиригэр төннүбэттэр.","2025-02-11T12:43:07.117879Z"
43,"1","2025-02-11T12:43:48.590264Z",43,40.058,"Neutral","Тоҕо биирдэ даҕаны почтанан сакаастаан, кэпсэппэккиний?","2025-02-11T12:43:48.590343Z"
44,"1","2025-02-11T12:43:59.105923Z",44,9.368,"Neutral","Медиахакатон” туһунан үөрэххэ бииргэ сылдьыбыт, былырыын бэйэлэрэ онно кыттыбыт оҕолор кэпсээбиттэрэ.","2025-02-11T12:43:59.106000Z"
45,"1","2025-02-11T12:44:34.028222Z",45,33.627,"Negative","Дьахталларга урут эрэллээх-бэриниилээх буолууну, хаһаайыстыбанньаҥы, оҕоҕо тапталы талар эбит буоллахтарына, билигин олохтоохтор 71 %-нара итини ааттаабат, талбат буолбут.","2025-02-11T12:44:34.028310Z"
46,"1","2025-02-11T12:44:43.428120Z",46,7.795,"Neutral","Тоҕо диэтэххэ, илиигинэн харчыны туттаххына, төбөҥ, мэйииҥ тэҥинэн үлэлииллэр.","2025-02-11T12:44:43.428200Z"
47,"1","2025-02-11T12:44:51.480251Z",47,6.776,"Neutral","Улуу айымньы тугу биэрэр, туохха туһалыыр дии саныыгын?","2025-02-11T12:44:51.480347Z"
48,"1","2025-02-11T12:45:04.951293Z",48,11.801,"Neutral","Наһаа субу-субу уларыйар буоллаҕына, ыарыыга ылларыахха сөп.","2025-02-11T12:45:04.951375Z"
49,"1","2025-02-11T12:45:17.776936Z",49,11.547,"Positive","Манна бэлиэтээн этэххэ, ХИФУ алмаас салаатыгар  каадыры бэлэмнээн биэрэр кылаабынай үөрэх кыһаларыттан биирдэстэрэ буолар.","2025-02-11T12:45:17.777182Z"
50,"1","2025-02-11T12:45:33.619051Z",50,14.298,"Positive","Е. Николаев “Саха өрөспүүбүлүкэтигэр 2000 сылга – 2000 үтүө дьыала” хамсааһын соруктара диэн ыйааҕа тахсыбыта 25 сылын туолла.","2025-02-11T12:45:33.619139Z"
51,"1","2025-02-20T12:55:56.541177Z",51,59.725,"Neutral","Урут хаста да ТХМ хонтуруолунай ыамнары оҥоро сылдьыбытыгар “приписка” бөҕө тахсан кэлбитин кэннэ тохтоппуттар дииллэр.","2025-02-20T12:55:56.541268Z"
52,"1","2025-02-20T12:56:35.148104Z",52,36.677,"Neutral","Биһиги, уус-уран литэрэтиирэбит сайдарыгар баҕалаах ааҕааччылар, бу түбэлтэҕэ ханна кырдьык, ханна сымыйа баарын өйдүөхтээхпит уонна кырдьык диэки тардыһыахтаахпыт.","2025-02-20T12:56:35.148184Z"
53,"1","2025-02-20T12:57:05.833523Z",53,29.732,"Neutral","6 Ол курдук, олохтоох бэйэни салайыныы уорганнарын кииннээһиҥҥэ, уокуруктар тэриллиилэрин механизмын туһунан, олохтоох бэйэни салайыныы боломуочуйатын туһунан, сири-уоту бас билии боппуруостарыгар уонна бюджет, налуок сокуонугар  туох уларыйыы киирэрин чопчуластым.","2025-02-20T12:57:05.833599Z"
54,"1","2025-02-20T12:57:22.709123Z",54,15.328,"Neutral","Үйэтин тухары сүөһү үлэтиттэн илиитин араарбатах ытык киһи т/х-тын билиҥҥи туругун туһунан санаатын истиэҕиҥ.","2025-02-20T12:57:22.709201Z"
55,"1","2025-02-20T12:57:57.922372Z",55,34.244,"Negative","Оттон үөр ыт сүрдээх кутталлаах.","2025-02-20T12:57:57.922453Z"
56,"1","2025-02-20T12:58:05.837472Z",56,6.54,"Neutral","Николай уонна Петр диэннэр.","2025-02-20T12:58:05.837565Z"
57,"1","2025-02-20T12:58:14.730160Z",57,7.061,"Neutral","Лиссиэнсийэни судаарыстыбаҕа биэрбиппит», – диир Александр РАЗУМОВ.","2025-02-20T12:58:14.730241Z"
58,"1","2025-02-20T12:58:22.587954Z",58,6.898,"Neutral","Маҥнай орто оскуола дириэктэрин солбуйааччытын кытта эгил-тэгил  испиппит.","2025-02-20T12:58:22.588035Z"
59,"1","2025-02-20T12:59:18.455255Z",59,54.196,"Negative","ЯТЭК ахтыллыбытынан, “тэрилтэ гаас үрдүгэр олорон, массыына уматыгынан куораты хааччыйбат буоллаҕына, Кыһыл Сыырга туох эрэ улахан саахал буолбутун кистииллэр дуу?","2025-02-20T12:59:18.455332Z"
60,"1","2025-02-20T12:59:31.762285Z",60,11.817,"Neutral","Саха тыа сиригэр үөскээбитэ.","2025-02-20T12:59:31.762374Z"
61,"1","2025-02-20T13:12:33.855036Z",61,780.119,"Negative","Оттон Александр пробирканы оҕону сатаан оҥорбот, үөскэппэт дьон туһаналлар диэн бастаан утаа утарсан көрөн баран, этиибин ылыммыта диир.","2025-02-20T13:12:33.855164Z"
62,"1","2025-02-20T13:12:44.100862Z",62,5.358,"Neutral","Онтон 2000 сыллаахха “Якутия” ФАПК сыһыарыллыбыппыт.","2025-02-20T13:12:44.100942Z"
63,"1","2025-02-20T13:13:10.857589Z",63,22.442,"Neutral","Бэстибээли тэрийээччи, СӨ Аччыгый академиятын креативнай индустрияҕа настаабынньыга Сергей Захлинюк Калининград уобалаһыгар Талааннаах оҕолору сайыннарар кииҥҥэ научнай-мэтэдьиичэскэй үлэҕэ дириэктэри солбуйааччы этэ.","2025-02-20T13:13:10.857741Z"
64,"1","2025-02-20T13:13:25.088403Z",64,12.479,"Neutral","Бастакытынан, былаас бары министиэристибэлэрэ, биэдэмистибэлэрэ, үлэ кэлэктииптэрэ уо.","2025-02-20T13:13:25.088481Z"
65,"1","2025-02-20T13:13:43.979920Z",65,16.643,"Neutral","Өрөспүүбүлүкэбитигэр “Саха сирэ 21-с үйэҕэ” диэн “Үтүө дьыала хамсааһын” үлэлээбитэ 25 сыл буолла. Бу сыллар тухары үгүс улууска, нэһилиэккэ бэйэ күүһүнэн социальнай эбийиэк бөҕөтө тутулунна.","2025-02-20T13:13:43.979999Z"
66,"1","2025-02-20T13:13:56.116471Z",66,10.73,"Neutral","Уһулуччу иһирэх сыһыан да буолбатар, биир уопсай ситимнээхтэр.","2025-02-20T13:13:56.116551Z"
67,"1","2025-02-20T13:14:08.013532Z",67,10.448,"Neutral","Сайын пропан оҥоһуута аҕыйыыр, тиийбэтин хаһаастан ылан сапыраапкаларга түҥэтэбит.","2025-02-20T13:14:08.013612Z"
68,"1","2025-02-20T13:14:16.228921Z",68,6.445,"Neutral","Оттон саамай элбэх үп, куорат бүддьүөтүн 70 бырыһыана оскуолаҕа барар.","2025-02-20T13:14:16.229008Z"
69,"1","2025-02-20T13:14:24.564704Z",69,6.891,"Neutral","Биткоин ахсаана эмиэ хааччахтаах – 21 мөл.","2025-02-20T13:14:24.564785Z"
70,"1","2025-02-20T13:14:58.492213Z",70,32.253,"Positive","Айылҕа тыыннааҕа хайа баҕарар омукка – дьоло.","2025-02-20T13:14:58.492306Z"
71,"1","2025-02-20T13:15:03.916984Z",71,4.155,"Neutral","а. син биир баар буолар.","2025-02-20T13:15:03.917063Z"
72,"1","2025-02-20T13:16:03.854685Z",72,58.821,"Negative","Мин дьокутааттар соруйан харчыны оҕо аһылыгар кэмчилииллэр диэбэппин, бүддьүөккэ, чахчы, харчы суох.","2025-02-20T13:16:03.854768Z"
73,"1","2025-02-20T13:16:22.991877Z",73,17.671,"Neutral","Чуолаан, СӨ Суруйааччыларын сойууһугар чилиэннэри ылыы аҕыйах сылтан бэттэх, устаап ирдэбилинэн буолбакка, аҕыйах киһи быһаарыытынан барар буолбута билиннэ.","2025-02-20T13:16:22.991957Z"
74,"1","2025-02-20T13:17:01.685875Z",74,37.144,"Neutral","Билэргит курдук, бу хамсааһыҥҥа оскуола оҕолоруттан кырдьаҕаһыгар тиийэ бары кытыннылар.","2025-02-20T13:17:01.685952Z"
75,"1","2025-02-20T13:17:12.990450Z",75,9.827,"Neutral","Төлөбүрэ: 25 куул хаппыыстаны толордоххо, 1 куулу ылаҕын.","2025-02-20T13:17:12.990529Z"
76,"1","2025-02-20T13:17:52.740200Z",76,38.321,"Neutral","Бииргэ төрөөбүт эдьиийим Валерия хореограф идэлээх, улахан быраатым Василий Сатаҕай кулуубугар оператор, аччыгый быраатым Долун куоракка Эстрада тыйаатырыгар үлэлиир.","2025-02-20T13:17:52.740278Z"
77,"1","2025-02-20T13:18:10.729689Z",77,16.876,"Neutral","Ким эрэ кырдьаҕас, эдэр буолбат буоллаҕа.","2025-02-20T13:18:10.729776Z"
78,"1","2025-02-20T13:18:43.936824Z",78,32.031,"Neutral","Билигин аан дойду барыта “парник эффегин” утары охсуһар.","2025-02-20T13:18:43.936912Z"
79,"1","2025-02-20T13:20:48.947712Z",79,123.735,"Positive","Нэһилиэктэргэ, улуус кииннэригэр, куораттарга “Үтүө дьыала” хамсааһына тигинэччи киирбитэ.","2025-02-20T13:20:48.948015Z"
80,"1","2025-02-20T13:21:17.648335Z",80,27.555,"Neutral","Түмүгэр мустубут дьон Ил Дархан Айсен Николаев итиэннэ өрөспүүбүлүкэ Үрдүкү суутун Бэрэссэдээтэлэ Любовь Летучих ааттарыгар аһаҕас сурук суруйарга быһаарыннылар.","2025-02-20T13:21:17.648420Z"
81,"1","2025-02-20T13:22:29.420868Z",81,69.992,"Negative","Баҕар, притоннар, “мамкалаах-папкалаах” сулууспаларга баара буолуо эрээри, мин оннугу билбэппин.","2025-02-20T13:22:29.420959Z"
82,"1","2025-02-20T13:24:02.839682Z",82,92.278,"Positive","Хайа да улууска биһиги курдук элбэх дьоруойдара суох.","2025-02-20T13:24:02.839761Z"
83,"1","2025-02-20T13:32:56.430231Z",83,531.735,"Negative","Мин биирдэ эмэ имэҥнээх түүллэри түһээччибин.","2025-02-20T13:32:56.430320Z"
84,"1","2025-02-20T13:33:12.611232Z",84,14.069,"Neutral","Арассыыйа олохтоохторо кыттыгас төрөппүтү, партнёру көрдүүллэригэр интэриниэти холбоон, “Ребёнку быть” порталга киирэн булар кыахтаахтара суруллар.","2025-02-20T13:33:12.611313Z"
85,"1","2025-02-20T13:33:24.407462Z",85,10.743,"Neutral","Эчи, куораттан да чугаһа, киһини угуйар, тардар.","2025-02-20T13:33:24.407546Z"
86,"1","2025-02-20T13:34:00.516554Z",86,34.773,"Neutral","Тэрилтэ үлэтин сыалын-соругун нэһилиэнньэҕэ тарҕатан, бу уурунуу уонна иэс ылар тэрилтэ эрэ буолбатаҕын, маны сэргэ нэһилиэнньэҕэ “финансовая грамотность” диэн өйдөбүлү тиэрдэр сыаллаахпытын тиэрдэр этим.","2025-02-20T13:34:00.516635Z"
87,"1","2025-02-20T13:35:03.656904Z",87,61.718,"Positive","Ыһыах төрүт сүнньэ – олоххо тардыһыы, ол туһугар үрдүкү Айыылартан көрдөһүү сиэрин-туомун тутуһуу.","2025-02-20T13:35:03.656985Z"
88,"1","2025-02-20T13:35:21.470711Z",88,16.588,"Neutral","Улахан уолбут 25 саастаах, хайыы үйэ үлэһит.","2025-02-20T13:35:21.470792Z"
89,"1","2025-02-20T13:35:35.109237Z",89,11.945,"Neutral","Онон, хайыахтарай, кэлии дьону үлэҕэ ылан, олохсутан үлэлэтэллэр.","2025-02-20T13:35:35.109317Z"
90,"1","2025-02-20T13:35:40.777647Z",90,4.141,"Neutral","Сууммата: 30 000–2 000 000 солк.","2025-02-20T13:35:40.777729Z"
91,"1","2025-02-20T13:36:04.750688Z",91,22.821,"Neutral","Холмогуор боруода ынахпыт ахсаана – 1067, онтон ынаҕа – 392, эдэр сүөһүтэ – 674, ол иһигэр 1 көлүүр оҕус.","2025-02-20T13:36:04.750767Z"
92,"1","2025-02-20T13:36:17.559378Z",92,11.071,"Positive","20 %-на дьиҥнээх тапталы күүтэрин билиммит.","2025-02-20T13:36:17.559456Z"
93,"1","2025-02-20T13:36:43.946144Z",93,24.412,"Neutral","Чөл олох киэҥник тарҕаныытын, дьон-сэргэ өйүгэр-санаатыгар олохсуйуутун хатылаабакка, оҕолорбутугар, ыччаппытыгар туох суолталааҕар тохтоон ааһыахпын баҕарабын.","2025-02-20T13:36:43.946257Z"
94,"1","2025-02-20T13:36:51.770734Z",94,5.889,"Negative","Онно, дьэ, “группа риска” ыарыылаахтары булаллар.","2025-02-20T13:36:51.772355Z"
95,"1","2025-02-20T13:37:12.404644Z",95,19.595,"Positive","Кыы­һым сытар хоһун хайысхатынан көрө-көрө, курдьугунаа да курдьугунаа буолла.","2025-02-20T13:37:12.404724Z"
96,"1","2025-02-20T13:37:29.264156Z",96,15.048,"Positive","Онон билигин улаатаммыт, сылгыбыт-сүөһүбүт элбээн, сыл устата 25–30 туонна ынах этин, 10–12 туонна убаһа этин “Анаабыр алмаастарыгар” туттарабыт.","2025-02-20T13:37:29.264236Z"
97,"1","2025-02-20T15:33:17.089267Z",97,28.016,"Negative","Ол курдук, улахан куораттарга дьахтар эрэллээх буолуутугар соччо наадыйбаттар эбит (18% эрэ сыаналыыбын диэбит), оҕону таптыахтаах диэн эмиэ эппэтэхтэр (17 %), ха­һаайыстабанньаҥын (12 %) да, буортулаах дьаллыктаа­ҕын-суоҕун да (12 %) сыаналаабат буолбуттар.","2025-02-20T15:33:17.089357Z"
98,"1","2025-02-20T15:33:49.572006Z",98,31.089,"Positive","Кинилэргэ бүтүн кэлэктиибинэн ыалдьарбыт, долгуйарбыт чуолкай.","2025-02-20T15:33:49.572091Z"
99,"1","2025-02-20T15:34:25.022686Z",99,33.599,"Neutral","Оччолорго бырамыысыланнас диэн биһигиттэн букатын ыраах эйгэ курдук буолара.","2025-02-20T15:34:25.022764Z"
100,"1","2025-02-20T15:34:36.213056Z",100,9.555,"Negative","Иккиэн куттанан, бука, сэрэйдэххэ, өллүбүт дии санаан күүскэ куустуһан олорбуттар.","2025-02-20T15:34:36.213144Z"
101,"1","2025-02-20T15:35:12.437929Z",101,34.939,"Positive","Ыраах Греция арыытыгар, муора биэрэгэр оҕолорун кытта оһуокайдаан эйээрбитин, саха тойугунан грек омуктары сөхтөрбүтүн ансаамбыл оҕолоро бары да киэн тутта истибиттэрэ.","2025-02-20T15:35:12.438011Z"
102,"1","2025-02-27T10:14:35.843731Z",102,17.314,"Positive","Ити өттүгэр этэр буоллахха, Ил Дархаммыт Айсен Сергеевич ыҥыырыытыгар: “Үтүө хамсааһыҥҥа көрүллүбүт олохтоох харчы нэһилиэккэ дьон-сэргэ эбии дохуоттанарыгар хаалыахтаах”, – диэн турар.","2025-02-27T10:14:35.843855Z"
103,"1","2025-02-27T10:14:50.771041Z",103,12.629,"Positive","Айар үлэбин 2018 сылтан убайым Новиков Петр Иннокентьевич-Дьүкээбил сүбэтинэн  саҕалаабытым.","2025-02-27T10:14:50.771305Z"
104,"1","2025-02-27T10:16:20.056293Z",104,87.189,"Positive","Ити “Платформа” диэн айар бөлөххө түмсүбүт симиэнэ выпускниктара Бороҕон улууһун кулубата Алексей Аржаков (Сэһэн Ардьакыап) туһунан историческай киинэ-дырааманы устубуттара. Бу – киһи төһө саастааҕыттан иҥнибэккэ, кимиэхэ баҕарар, чахчы, наадалааҕын туоһута”, – диир Сергей Захлинюк.","2025-02-27T10:16:20.056440Z"
105,"1","2025-02-27T10:16:51.041780Z",105,25.233,"Negative","а сыаната үрдүү турара тохтообот.","2025-02-27T10:16:51.041881Z"
106,"1","2025-02-27T10:17:26.496023Z",106,30.673,"Neutral","Ол туһугар МКД-лар кэлэктиибинэй (бүтүн дьиэни ааҕар-учуоттуур, салгыы – ОДПУ), ону тэҥэ кыбартыыра иһигэр ресурсалары учуоттуур тэрилинэн (салгыы – ИПУ) хааччыллыбыт буолуохтаахтар.","2025-02-27T10:17:26.496101Z"
107,"1","2025-02-27T10:17:47.280299Z",107,15.918,"Neutral","Ордук улахан куораттарга оннук сыһыан баһыйар.","2025-02-27T10:17:47.280380Z"
108,"1","2025-02-27T10:18:17.188596Z",108,25.189,"Negative","Эбэтэр тапталлара сойо охсубута дуу?","2025-02-27T10:18:17.188677Z"
109,"1","2025-02-27T10:18:34.512772Z",109,11.041,"Negative","СанПинынан ону “киитэрэйдээн”, биир оҕоҕо хас эрэ квадратнай миэтэрэ тиийэр диэн хаттаан көрөн, уларытан аахпыттара.","2025-02-27T10:18:34.512855Z"
110,"1","2025-02-27T10:18:58.041131Z",110,18.836,"Positive","Кыыстара Лия Дмитриева, Санкт-Петербурдааҕы физкультурнай академияны бүтэрэн, ХИФУ физкультура уонна спорт институтун преподавателэ, иккис кыыс Юлия Дмитриева, Илин Сибиирдээҕи культура институтун бүтэрэн, Бүлүүгэ үҥкүү студиятын салайааччытынан ситиһиилээхтик үлэлии сылдьаллар.","2025-02-27T10:18:58.041262Z"
111,"1","2025-02-27T10:19:43.344700Z",111,40.034,"Neutral","2009 с. тахсыбыт ФЗ 261-с №-дээх Федеральнай сокуоҥҥа олоҕуран, туһаныллар энэргиэтикэ ресурсаларын ороскуотун анал тэриллэри туһанан учуоттуур, ааҕар-суоттуур булгуччу ирдэнэр.","2025-02-27T10:19:43.344776Z"
112,"1","2025-02-27T10:20:28.910068Z",112,40.382,"Negative","бүддьүөт үбэ  сыл аайы кэриэтэ сойботулла олорбут курдук буолбатах дуо?","2025-02-27T10:20:28.910149Z"
113,"1","2025-02-27T10:20:50.259537Z",113,16.953,"Positive","Ол онтон оҕолор, төрөппүттэр эрэ буолбакка, Бүлүү барыта киэн туттубута, уруйдаабыта-айхаллаабыта.","2025-02-27T10:20:50.259797Z"
114,"1","2025-02-27T10:21:37.559969Z",114,43.087,"Neutral","Сүрүнэ – биһиги бу балаһыанньаҕа тугу гыныахтаахпытый, хайдах дьаһанаыахтаахпытый диэн үчүгэйдик толкуйдаан сыыйа киирэн иһиэхпит.","2025-02-27T10:21:37.560049Z"
115,"1","2025-02-27T10:22:09.461457Z",115,27.236,"Neutral","Оттон архыыптаммыт блок туһунан информация кыра-кыралаан криптовалютанан дьарыктанар аан дойду дьонун көмпүүтэрдэригэр барыларыгар хараллар.","2025-02-27T10:22:09.461663Z"
116,"1","2025-02-27T10:22:42.580936Z",116,28.178,"Negative","Онон, крипто-харчы киһи атыылаһаат да, байар суола буолбатах.","2025-02-27T10:22:42.581012Z"
117,"1","2025-02-27T10:23:10.083566Z",117,24.14,"Negative","Эс, ама, оннук буоллаҕай?","2025-02-27T10:23:10.083699Z"
