text,label,domain
"Министиэристибэ тула бүддьүөттэн үбүлэнэр атын тэрилтэлэр, ГБУ-лар элбэхтэр.",neutral,kyym
Судьуйа уонна борокуруор кини албакаатын этиитин ылымматылар.,neutral,kyym
Мария чаайын сыпсырыйа-сыпсырыйа умса туттан саҥара олордо.,negative,kyym
Иккис эһэм Ыстапаан 1930 с. кулаактанан сыылкаҕа бараахтаабыт.,negative,kyym
Онно биэс уончалаах киһи тиийэн кэлбитэ.,neutral,kyym
"Билигин дьон-сэргэ үбүн-харчытын сүрдээҕин суоттанар, онон бырагырааманы ымпыктаан-чымпыктаан талаллар.",positive,kyym
"Оттон алмаас көмүстээҕэр күндү, үрүҥ көмүстээҕэр ыраас уонна тимирдээҕэр кытаанах.",positive,kyym
Кини биэс тыһыынча биэнсийэтигэр олор­буппут.,neutral,kyym
"Табаhыттар Арассыыйатааҕы сойуустарын тэрээhиннэригэр Чукотка, Сахалин, Тыва, Саха сирин, Хабаровскай кыраай уо.",neutral,kyym
"Кэлгиэлээх буолуон сөп, ону уҥуох тас өттүгэр өссө биир уһун синньигэс үөрбэ маһа көстүбүтэ туоһулуур.",neutral,kyym
"Мэҥэ Хаҥалас Балыктааҕар оскуола дириэктэрэ Ирина Васильевна Черкашина көҕүлээһининэн, оскуола кэлэктиибэ бэйэтин күүһүнэн оскуолатын өрөмүөннээбитэ, интэринээтигэр үлэ бөҕөнү ыыппыта.",neutral,kyym
"Кини бэйэтэ сопхуоска инженер-мэхээнньигинэн үлэлээбитэ эрээри, “Саха сирин ыччата хайаан да бырамыысыланнаска үлэлиэхтээх” диэн бигэтик эрэнэр этэ.",positive,kyym
"Барыларыгар көстөр гына Пушкин кинигэтин түбэһиэх арыйа баттаат, ааҕа-ааҕа күлэн сыһыгырыыра.",neutral,kyym
Инньэ гынан көрүллүбүт үп нэһилиэк олохтоохторугар хаалар.,neutral,kyym
"Бу сибиинньэлэр турар сирдэрин үлтү хаһан, буору илдьиритэн, уоҕурдан оҕуруокка туһанарга  олус бэрт гына оҥоруох эбиттэр.",neutral,kyym
"Ол курдук, арҕаалар кинилэр кигиилэринэн “бүтэһик украинецка” диэри сэриилэһэргэ сөбүлэспит “сабыдыал ааҕына” оҥостубут Зеленскэйдэрин куоттаран эрдэхтэрэ.",negative,kyym
С. Степановтан “бу ким сирэй” диэн ыйыттым.,neutral,kyym
"Эдэр дьон үөрэхтэрин бүтэрбиттэрин да иһин, тыа сиригэр төннүбэттэр.",negative,kyym
"Тоҕо биирдэ даҕаны почтанан сакаастаан, кэпсэппэккиний?",neutral,kyym
"Медиахакатон” туһунан үөрэххэ бииргэ сылдьыбыт, былырыын бэйэлэрэ онно кыттыбыт оҕолор кэпсээбиттэрэ.",neutral,kyym
"Дьахталларга урут эрэллээх-бэриниилээх буолууну, хаһаайыстыбанньаҥы, оҕоҕо тапталы талар эбит буоллахтарына, билигин олохтоохтор 71 %-нара итини ааттаабат, талбат буолбут.",negative,kyym
"Улуу айымньы тугу биэрэр, туохха туһалыыр дии саныыгын?",neutral,kyym
"Наһаа субу-субу уларыйар буоллаҕына, ыарыыга ылларыахха сөп.",neutral,kyym
Е. Николаев “Саха өрөспүүбүлүкэтигэр 2000 сылга – 2000 үтүө дьыала” хамсааһын соруктара диэн ыйааҕа тахсыбыта 25 сылын туолла.,positive,kyym
"Биһиги, уус-уран литэрэтиирэбит сайдарыгар баҕалаах ааҕааччылар, бу түбэлтэҕэ ханна кырдьык, ханна сымыйа баарын өйдүөхтээхпит уонна кырдьык диэки тардыһыахтаахпыт.",neutral,kyym
"6 Ол курдук, олохтоох бэйэни салайыныы уорганнарын кииннээһиҥҥэ, уокуруктар тэриллиилэрин механизмын туһунан, олохтоох бэйэни салайыныы боломуочуйатын туһунан, сири-уоту бас билии боппуруостарыгар уонна бюджет, налуок сокуонугар  туох уларыйыы киирэрин чопчуластым.",neutral,kyym
Үйэтин тухары сүөһү үлэтиттэн илиитин араарбатах ытык киһи т/х-тын билиҥҥи туругун туһунан санаатын истиэҕиҥ.,neutral,kyym
Оттон үөр ыт сүрдээх кутталлаах.,negative,kyym
Николай уонна Петр диэннэр.,neutral,kyym
"Лиссиэнсийэни судаарыстыбаҕа биэрбиппит», – диир Александр РАЗУМОВ.",neutral,kyym
"ЯТЭК ахтыллыбытынан, “тэрилтэ гаас үрдүгэр олорон, массыына уматыгынан куораты хааччыйбат буоллаҕына, Кыһыл Сыырга туох эрэ улахан саахал буолбутун кистииллэр дуу?",negative,kyym
Саха тыа сиригэр үөскээбитэ.,neutral,kyym
"Оттон Александр пробирканы оҕону сатаан оҥорбот, үөскэппэт дьон туһаналлар диэн бастаан утаа утарсан көрөн баран, этиибин ылыммыта диир.",negative,kyym
Онтон 2000 сыллаахха “Якутия” ФАПК сыһыарыллыбыппыт.,neutral,kyym
"Бэстибээли тэрийээччи, СӨ Аччыгый академиятын креативнай индустрияҕа настаабынньыга Сергей Захлинюк Калининград уобалаһыгар Талааннаах оҕолору сайыннарар кииҥҥэ научнай-мэтэдьиичэскэй үлэҕэ дириэктэри солбуйааччы этэ.",neutral,kyym
"Бастакытынан, былаас бары министиэристибэлэрэ, биэдэмистибэлэрэ, үлэ кэлэктииптэрэ уо.",neutral,kyym
"Өрөспүүбүлүкэбитигэр “Саха сирэ 21-с үйэҕэ” диэн “Үтүө дьыала хамсааһын” үлэлээбитэ 25 сыл буолла. Бу сыллар тухары үгүс улууска, нэһилиэккэ бэйэ күүһүнэн социальнай эбийиэк бөҕөтө тутулунна.",neutral,kyym
"Уһулуччу иһирэх сыһыан да буолбатар, биир уопсай ситимнээхтэр.",neutral,kyym
"Сайын пропан оҥоһуута аҕыйыыр, тиийбэтин хаһаастан ылан сапыраапкаларга түҥэтэбит.",neutral,kyym
"Оттон саамай элбэх үп, куорат бүддьүөтүн 70 бырыһыана оскуолаҕа барар.",neutral,kyym
Биткоин ахсаана эмиэ хааччахтаах – 21 мөл.,neutral,kyym
Айылҕа тыыннааҕа хайа баҕарар омукка – дьоло.,positive,kyym
а. син биир баар буолар.,neutral,kyym
"Мин дьокутааттар соруйан харчыны оҕо аһылыгар кэмчилииллэр диэбэппин, бүддьүөккэ, чахчы, харчы суох.",negative,kyym
"Чуолаан, СӨ Суруйааччыларын сойууһугар чилиэннэри ылыы аҕыйах сылтан бэттэх, устаап ирдэбилинэн буолбакка, аҕыйах киһи быһаарыытынан барар буолбута билиннэ.",neutral,kyym
"Билэргит курдук, бу хамсааһыҥҥа оскуола оҕолоруттан кырдьаҕаһыгар тиийэ бары кытыннылар.",neutral,kyym
"Төлөбүрэ: 25 куул хаппыыстаны толордоххо, 1 куулу ылаҕын.",neutral,kyym
"Ким эрэ кырдьаҕас, эдэр буолбат буоллаҕа.",neutral,kyym
Билигин аан дойду барыта “парник эффегин” утары охсуһар.,neutral,kyym
"Нэһилиэктэргэ, улуус кииннэригэр, куораттарга “Үтүө дьыала” хамсааһына тигинэччи киирбитэ.",positive,kyym
Түмүгэр мустубут дьон Ил Дархан Айсен Николаев итиэннэ өрөспүүбүлүкэ Үрдүкү суутун Бэрэссэдээтэлэ Любовь Летучих ааттарыгар аһаҕас сурук суруйарга быһаарыннылар.,neutral,kyym
"Баҕар, притоннар, “мамкалаах-папкалаах” сулууспаларга баара буолуо эрээри, мин оннугу билбэппин.",negative,kyym
Хайа да улууска биһиги курдук элбэх дьоруойдара суох.,positive,kyym
Мин биирдэ эмэ имэҥнээх түүллэри түһээччибин.,negative,kyym
"Арассыыйа олохтоохторо кыттыгас төрөппүтү, партнёру көрдүүллэригэр интэриниэти холбоон, “Ребёнку быть” порталга киирэн булар кыахтаахтара суруллар.",neutral,kyym
"Эчи, куораттан да чугаһа, киһини угуйар, тардар.",neutral,kyym
"Тэрилтэ үлэтин сыалын-соругун нэһилиэнньэҕэ тарҕатан, бу уурунуу уонна иэс ылар тэрилтэ эрэ буолбатаҕын, маны сэргэ нэһилиэнньэҕэ “финансовая грамотность” диэн өйдөбүлү тиэрдэр сыаллаахпытын тиэрдэр этим.",neutral,kyym
"Ыһыах төрүт сүнньэ – олоххо тардыһыы, ол туһугар үрдүкү Айыылартан көрдөһүү сиэрин-туомун тутуһуу.",positive,kyym
"Улахан уолбут 25 саастаах, хайыы үйэ үлэһит.",neutral,kyym
"Онон, хайыахтарай, кэлии дьону үлэҕэ ылан, олохсутан үлэлэтэллэр.",neutral,kyym
Сууммата: 30 000–2 000 000 солк.,neutral,kyym
"Холмогуор боруода ынахпыт ахсаана – 1067, онтон ынаҕа – 392, эдэр сүөһүтэ – 674, ол иһигэр 1 көлүүр оҕус.",neutral,kyym
20 %-на дьиҥнээх тапталы күүтэрин билиммит.,positive,kyym
"Онно, дьэ, “группа риска” ыарыылаахтары булаллар.",negative,kyym
"Кыы­һым сытар хоһун хайысхатынан көрө-көрө, курдьугунаа да курдьугунаа буолла.",positive,kyym
"Онон билигин улаатаммыт, сылгыбыт-сүөһүбүт элбээн, сыл устата 25–30 туонна ынах этин, 10–12 туонна убаһа этин “Анаабыр алмаастарыгар” туттарабыт.",positive,kyym
"Ол курдук, улахан куораттарга дьахтар эрэллээх буолуутугар соччо наадыйбаттар эбит (18% эрэ сыаналыыбын диэбит), оҕону таптыахтаах диэн эмиэ эппэтэхтэр (17 %), ха­һаайыстабанньаҥын (12 %) да, буортулаах дьаллыктаа­ҕын-суоҕун да (12 %) сыаналаабат буолбуттар.",negative,kyym
"Кинилэргэ бүтүн кэлэктиибинэн ыалдьарбыт, долгуйарбыт чуолкай.",positive,kyym
Оччолорго бырамыысыланнас диэн биһигиттэн букатын ыраах эйгэ курдук буолара.,neutral,kyym
"Иккиэн куттанан, бука, сэрэйдэххэ, өллүбүт дии санаан күүскэ куустуһан олорбуттар.",negative,kyym
"Ыраах Греция арыытыгар, муора биэрэгэр оҕолорун кытта оһуокайдаан эйээрбитин, саха тойугунан грек омуктары сөхтөрбүтүн ансаамбыл оҕолоро бары да киэн тутта истибиттэрэ.",positive,kyym
"Ити өттүгэр этэр буоллахха, Ил Дархаммыт Айсен Сергеевич ыҥыырыытыгар: “Үтүө хамсааһыҥҥа көрүллүбүт олохтоох харчы нэһилиэккэ дьон-сэргэ эбии дохуоттанарыгар хаалыахтаах”, – диэн турар.",positive,kyym
Айар үлэбин 2018 сылтан убайым Новиков Петр Иннокентьевич-Дьүкээбил сүбэтинэн  саҕалаабытым.,positive,kyym
"Ити “Платформа” диэн айар бөлөххө түмсүбүт симиэнэ выпускниктара Бороҕон улууһун кулубата Алексей Аржаков (Сэһэн Ардьакыап) туһунан историческай киинэ-дырааманы устубуттара. Бу – киһи төһө саастааҕыттан иҥнибэккэ, кимиэхэ баҕарар, чахчы, наадалааҕын туоһута”, – диир Сергей Захлинюк.",positive,kyym
а сыаната үрдүү турара тохтообот.,negative,kyym
"Ол туһугар МКД-лар кэлэктиибинэй (бүтүн дьиэни ааҕар-учуоттуур, салгыы – ОДПУ), ону тэҥэ кыбартыыра иһигэр ресурсалары учуоттуур тэрилинэн (салгыы – ИПУ) хааччыллыбыт буолуохтаахтар.",neutral,kyym
Эбэтэр тапталлара сойо охсубута дуу?,negative,kyym
"Кыыстара Лия Дмитриева, Санкт-Петербурдааҕы физкультурнай академияны бүтэрэн, ХИФУ физкультура уонна спорт институтун преподавателэ, иккис кыыс Юлия Дмитриева, Илин Сибиирдээҕи культура институтун бүтэрэн, Бүлүүгэ үҥкүү студиятын салайааччытынан ситиһиилээхтик үлэлии сылдьаллар.",positive,kyym
"2009 с. тахсыбыт ФЗ 261-с №-дээх Федеральнай сокуоҥҥа олоҕуран, туһаныллар энэргиэтикэ ресурсаларын ороскуотун анал тэриллэри туһанан учуоттуур, ааҕар-суоттуур булгуччу ирдэнэр.",neutral,kyym
бүддьүөт үбэ  сыл аайы кэриэтэ сойботулла олорбут курдук буолбатах дуо?,negative,kyym
"Ол онтон оҕолор, төрөппүттэр эрэ буолбакка, Бүлүү барыта киэн туттубута, уруйдаабыта-айхаллаабыта.",positive,kyym
"Сүрүнэ – биһиги бу балаһыанньаҕа тугу гыныахтаахпытый, хайдах дьаһанаыахтаахпытый диэн үчүгэйдик толкуйдаан сыыйа киирэн иһиэхпит.",neutral,kyym
Оттон архыыптаммыт блок туһунан информация кыра-кыралаан криптовалютанан дьарыктанар аан дойду дьонун көмпүүтэрдэригэр барыларыгар хараллар.,neutral,kyym
"Эс, ама, оннук буоллаҕай?",negative,kyym
"Итини таһынан, крипто-үп актыып, баай-дуол буоларынан, киһи бэйэтэ нолуок уорганнарыгар декларация оҥорон туттарыахтаах уонна барыһыттан 13% нолуок төлүөхтээх.",neutral,kyym
"Дьон ырыаны хайдах толороллорун көрөбүн, сүбэ-ама биэрэбин.",neutral,kyym
Убайа киниэхэ куруук холобур.,positive,kyym
Төһө элбэх сайабылыанньа киирдэ?,neutral,kyym
Баба-яга” кыһыҥҥы уонна сайыҥҥы диэн көтөр бириэмэлээх.,neutral,kyym
"Тоҕо диэтэххэ, бу реформа биир сүрүнэ диэн күн бүгүн Россия үрдүнэн олохтоох бэйэни салайыныы уорганнара дьиҥнээхтик боломуочуйаларын толороллоругар үптэрэ-харчылара тиийбэтин быһаарыы буолуохтаах.",neutral,kyym
Инвест-бырагыраамаҕа сыһыардахха олох уустук.,negative,kyym
"Биһиги нэһилиэк ону бу 15 кэнники сылга дакаастаатыбыт диэхпин сөп, арбаныы курдук ылынымаҥ.",negative,kyym
Онон мас-от тиэйэр уолаттар эрэйдэнэллэр.,negative,kyym
Онтон күһүн “балаҕан ыйын 6 күнүгэр Москубаҕа М.,neutral,kyym
"Ол гынан баран, иккиэн дизайнынан дьарыктанабыт.",neutral,kyym
"Хайа да омук кэлэр кэскилин, кэнчээри ыччаты иитиигэ үйэлэр тухары муспут муудараһын эдэр көлүөнэҕэ тиэрдэр үгэстээх.",positive,kyym
"П. Ефимов Омооччута тапталлааҕар бэйэтин да толук уурарга бэлэм, кини Ньургустаанатыгар этэр-тыынар: ""Миигин ыл, бу эйигин кууһан сытар сүрэхтиин баарбын эн баҕаҥ туолуутугар.",positive,kyym
"Бүддьүөтү сатаан торумнааһын, харчыны уурунуу уонна кыаҕы сөпкө туһаныы – үп-харчы өттүнэн туруктаах уонна кэнэҕэскитин байылыат олохтоох буолуу төрдө.",positive,kyym
"киһи олорор кыамталаах, уулуссалара биһиэнин курдук кыараҕас.",negative,kyym
"Ансаамбыл коллектива улаатан, сылдьар ыыра кэҥээн, толорор маастарыстыбата үрдээн барбыта.",positive,kyym
"Галина кини католик аата, тоҕо православнай кириэһи ылбытын ыйыппыта.",neutral,kyym
диэн санааттан Таатта лиссиэйин 4-с кылааһын туйгун үөрэнээччитэ Валерия Румянцевалыын ирэ-хоро кэпсэттим.,positive,kyym
"Бу эбэ урут син собо, сордоҥ, күстэх киирэн тахсар сирэ этэ.",positive,kyym
"Олору сырсыы ухханыгар сылдьан баран, 40-с саастарыгар үктэнэн баран өйдөөбүттэрэ, кинилэри сүҥ­кэннээх кыһалҕа булбут: олох аргыһа буолуохтааҕы көрдүүргэ бириэмэлэрэ тиийбэт, эбэтэр анараа, эт-хаан өттүнэн ыкса сыһыаннаах партнердара оҕо диэтэххэ, ойон туран куотар балаһыанньалаах, оҕону ыйааһын, чэҥкээйи эрэ быһыытынан көрөрүн өйдүүллэр.",negative,kyym
"дьиэтин, ол аата 20–30 дэриэбинэни, холкутук гаастыахха сөп” диэн суруйбут.",positive,kyym
"Испэктээк биир сүрүн уратыта – манна классика истиилигэр майгынныыр опера баартыйалара саха төрүт үстүрүмүөннэрин тыаһын-ууһун уонна сахалыы кылыһахтаах ырыаны-тойугу кытта дьүөрэлэһэллэр, биир тэтимҥэ киирэллэр.",positive,kyym
"Наталья Сергеева-Аана Кыыhа, Чурапчы литэрэтииринэй түмсүүтүн чилиэнэ, СӨ Үөрэҕириитин туйгуна.",positive,kyym
"Өссө биир анала – кыһыҥҥы хаһылыкка, хаары алдьатан сири тоҥорор.",neutral,kyym
М. Белоноговы былыргы үгэһинэн хоолдьуга атын бэйэтин кытта иинигэр көмпүттэр диэн сураҕы соторутааҕыта кэпсээн соһуппута.,negative,kyym
"Холобур, соторутааҕыта АЛРОСА хампаанньа М.",neutral,kyym
Атыны албынныыр кыаҕа суох.,negative,kyym
"СӨ мас сыаната 2020 сылтан – хамсыгынан, онтон анал байыаннай дьайыынан сибээстээн, үрдүү илик.",negative,kyym
"Хайыахпыный, дьону таһырдьа бырахпат буоллаҕым дии.",negative,kyym
"Онон эйэ дэмнээхтик тарҕаһабыт”, – диэбит.",positive,kyym
"Итини толкуйдаабытым ыраатта да, менталитеппыт атын дуу, чиэһинэйбит дуу – кыаллыбат.",negative,kyym
Үтүө салайааччыны дьоно-сэргэтэ умнубат – Уустук диэххэ сөп.,negative,kyym
"1995 -2011 сс. Үөһээ Бүлүү ТХУ-тун начаалынньыга, Балаҕаннаах нэһилиэгин баһылыга.",neutral,kyym
"Роман Михайлович Коркин, Преображенскай, Барба курдук улуу тириэньэрдэргэ хатарыллан тахсан баран, маҥнайгы тириэньэрин инники күөҥҥэ тута сылдьыбыта.",positive,kyym
"Урут олохтоохтор мас кэрдэллэригэр ойуур билиэтэ бэриллэр буоллаҕына, 2006 сылтан бэттэх ол тохтотуллубута, билигин маһы атыылаһыы туһунан дуогабар түһэрсиллэрэ ирдэнэр.",negative,kyym
Аһылыгын 80%-на – талах уонна араас сэппэрээк.,neutral,kyym
"Ытан суулларбатыннар диэн, аллараа өттүн тимир куйахтыыр буолбуттар.",neutral,kyym
"Табылыннаҕына, күһүн Бииктэр аны миэхэ кэлэн ыалдьыттыахтаах.",neutral,kyym
Аан дойдуга бастаан иһэллэр.,neutral,kyym
"Бүгүн биһиги криптовалютанан 2018 с. анаан дьарыктанар эспиэр, дьону-сэргэни үөрэтэр уонна сырдатар Антон Ивановтуун кэпсэтэбит.",neutral,kyym
Ол кэнниттэн билигин болдьоҕун икки төгүл уһаппыттарыгар хаттаан этиилэрбитин киллэрэн олоробут.,neutral,kyym
"Холобура, ипэтиэкэ, кыбартыыра төлөбүрүн хойутаппакка төлүүбүт дии, ол курдук буолуохтаах.",neutral,kyym
Биһиги даҕаны “эн эмиэ кэлээр” диэн арахсыбыппыт.,neutral,kyym
Мин кинилэргэ олус махтанабын.,positive,kyym
Ким да билбэтэх саҥа административнай эдьинииссэни киллэрии дьон санаатын соруйан булкуйууга майгынныыр.,negative,kyym
Икки көстөөх сиртэн от тиэйии өҥөтө – 4–5 тыһ.,neutral,kyym
"Бүгүн ким ханна барбытын, түүн ким ханна киирэрин эҥин кэпсэтэбит.",neutral,kyym
Уон күн иһигэр – идиэйэттэн премьераҕа диэри – өрөспүүбүлүкэ араас улууһуттан 68 үөрэнээччи киинэ ускуустубатын умсулҕаннаах эйгэтигэр кытынна.,positive,kyym
"Бастакы кинигэбэр - ""Маршаллаах уола"" диэн  ахтыыбар  суруйааччы Кындыл Маҥан (Аммосов Афанасий)   ""Симэхтээх сэлэ""  диэн ааты иҥэрбитэ киирбитэ.",neutral,kyym
Билигин дьиэ кэргэн бүддьүөтүн суоттанабыт-учуоттанабыт.,neutral,kyym
Биһиги хаһаайыстыба киин улуустары кытта тэҥнэһэр кыахпыт суох.,negative,kyym
Сопхуос дириэктэрдэриттэн «ким да сопхуоһу хаалларыаҕыҥ” диэн эппэтэ.,negative,kyym
Оччоҕуна нолуога барыстан быһаччы тутуллар булгуччулаах буолуон сөп.,neutral,kyym
Оттон биһиги кэнники кэмҥэ саха култууратыгар хайдах курдук сүҥкэн уларыйыы бара турарын көрө сылдьабыт.,positive,kyym
Ону хочуолбун отторго туттабын.,neutral,kyym
"диэн сибиги­нэһэллэрин истэн, ыар баттык санааҕа ылларан утуйбутум.",negative,kyym
"150-ча массыына, 100-кэ трактор баар.",neutral,kyym
"Хайатыҥы үрдэл сир (ону яр дииллэр быһыылаах) икки ардынааҕы хойуу талахтаах-мастаах аппаҕа үс киһини (ол иһигэр миигин) хаалларан баран, Павел Семенович биир уолу кытта ыттарын батыһыннаран үүрэ барда.",neutral,kyym
Үөһэ Халыма Зырянкатыгар Култуура-успуорт холбоһуга тутуллубута.,neutral,kyym
"Холобур, сибиинньэ аһын (горуох) ыһан аһатаҕын.",neutral,kyym
Ойуунускай уулуссатын тупсаран оҥорон бырайыагы инньэ гыммыттара.,positive,kyym
"Ону таһынан, инвестиция уонна криптовалюта тиэмэтинэн угаайыга киллэрбиттэр.",neutral,kyym
Ол быыһыгар дьиэ кэргэн өйдөбүлэ эмиэ биллибэтинэн суураллан иһэр.,negative,kyym
Быйыл үс суорт хортуоппуйу олордубуппут.,neutral,kyym
"биткоин барыта биирдэ буолбакка, өлүүлээн тахсар.",neutral,kyym
Билигин бочуоттаах сынньалаҥҥа олорор.,positive,kyym
"Биэрдэхтэринэ даҕаны, кинилэр сайаапкаларын хаачыстыбата быстар мөлтөх, ситэтэ суох буолар.",negative,kyym
Ол судаарыстыбаларга биткоин дойду валютатын сэргэ туттуллар кыахтаах.,neutral,kyym
"Өрөбүлгэ дьиэ-уот сууйан, эдьиийин кыра уолун оҕолоон, били кумааҕытын туһунан олоччу умнубута.",neutral,kyym
Дохуота элбэх буоларыгар хас биирдии киһи дьулуһуохтаах.,positive,kyym
Мин эдьиийбин кытта дьиэ кэргэммитигэр геология идэтин талбыт бастакы хараҥаччылар буолабыт.,positive,kyym
"Кэнники ыйдарга турниктарга, ол иннинэ    скалодромҥа дьарыктаммытым.",neutral,kyym
"Чэ, ол эрээри Киэсэ бу хоту дойдуга кэлбитин төрүт кэмсиммэт.",neutral,kyym
Сылы-сыллаан ол дьон туһугар үлэлииргэ күһэллэллэр.,negative,kyym
"Оҕо сырыттахпына кини уоппускатыгар дьиэтигэр кэллэҕинэ, үлэтин туһунан биһиэхэ мэлдьи кэпсиирэ.",neutral,kyym
Онно бэрт аҕыйах киһи киирэр көҥүллээх.,neutral,kyym
Константин оҕо эрдэҕиттэн биир умсугуйар дьарыктааҕа – массыына уонна тиэхиньикэ.,neutral,kyym
"Кириитикэһиттэр аһаҕастык эппэтэллэр да, Ил Дарханы “кирэ”, “эриэйтинин” түһэрэ сатыыллара көстөр.",negative,kyym
"Биир күн үрдүбэр саба түһэн, ыһыы-хаһыы бөҕө буолбутум.",negative,kyym
"Кини аахта “Таҥара баар дуу, суох дуу?",neutral,kyym
Эмиэ биир сиргэ эргийбитинэн-кулахачыйбытынан бардылар.,neutral,kyym
"АЛРОСА хампаанньа үбүн суотугар Дьокуускайга баар успуорт эбийиэктэрэ уонна куорат туоналара тупсарыллаллар, Оонньуулар иһитиннэрэр-тэхиниичэскэй өттүнэн хааччыллаллар.",positive,kyym
Кыыстарын сыанатыгар улахан суолта уураллара.,positive,kyym
"Биллэн турар, бэлэм харда, хоруй суох, тоҕо диэтэххэ, соцреализм бэрэстэбиитэлэ буолбатахтар.",neutral,kyym
"2014 сылтан ""Хоһоон хонуута"" диэн өрөспүүбүлүкэтээҕи айар куттаахтар мустар түөлбэлэрин, түмсүүлэрин тэрийэн кэллим.",neutral,kyym
"Билиҥҥэ диэри отчуоту, докумуону билбэппит.",neutral,kyym
"Ону сокуон сыыһа оҥоһуллан, “арыандаласпыт дьон эрэ барыһыраллар, уопсай хааһынаҕа харчы аанньа киирбэт” диэн сопхуостар тохтотон кэбиспиттэрэ.",negative,kyym
Бэйэм АГАТУ-га технолог идэтигэр кэтэхтэн 1-кы кууруһу бүтэрдим.,neutral,kyym
"Маарыннаһар өрүттэрэ: хоолдьуга кэрэхтэр бары илин, хотугулуу-илин, соҕуруулуу-илин көрөн тураллар.",neutral,kyym
"Саамай ытыктыыр, күөн туттар киһибит – Полина Победа буолар.",positive,kyym
СонуннарОлох-дьаһахТыа хаһаайыстыбата тоҕо өнүйбэтий?,neutral,kyym
"Билигин криптовалюта оҥорон Иркутскай, Красноярскай, Хакасия биирдиилээн ыаллара туох да сүрдээхтик байан бардылар.",positive,kyym
"Ол таҥара буолбут дьон мэтриэттэрэ бу саҥардыы биллибитэ, ити этиллибит таҥара буолбут дьон ону илдьэ да сылдьаачылара Боотуруускай улууһун Сүпсүк нэһилиэгин дьонноро дьүһүннэрин ойуулаан биэрбит киһи.",neutral,kyym
35 сыл таһаарыылаах үлэбин уһуйаан кырачааннарыгар анаабытым.,positive,kyym
"Мин Нина Николаевнаны кытта араас испэктээккэ, араас сыанаҕа бииргэ ыллаабытым.",neutral,kyym
Кэпэрэтиипкит быйыл 10 сыллаах үбүлүөйэ.,neutral,kyym
"Нууччалыы эттэххэ, “где логика?",neutral,kyym
"Дьиҥэ, элбэх ырыаны айбыппын.",neutral,kyym
Марафоҥҥа барыта 19 727 сүүрүүк кытынна.,neutral,kyym
Ол да буоллар син биир харчыбыт тиийбэтэ.,negative,kyym
Аҕабар эппиппин кыккыраччы аккаастаммыта.,negative,kyym
"Ол гынан баран, туга да булбатаҕым.",neutral,kyym
Кыралаан уһулуу – көрүллүбэт.,neutral,kyym
"Кылгас кэмҥэ сыал туруорунан, харчыбытын (дохуоппутун, ороскуоппутун) ааҕынабыт.",neutral,kyym
"Нэһилиэктэр кыһалҕаларын барытын үөһэттэн хайдах да учуоттаабаккын, кыаллыбат.",negative,kyym
"Биһиги хаһаайыстыбаҕа 1283 сүөһүлээхпит, онтон ыанара – 413.",neutral,kyym
"Оҥорон таһаарыы бары хаамыыта чопчу тэрээһиннээх, оттон үлэһит ис иһиттэн бэрээдэктээх, сүрэхтээх буолуохтаах.",positive,kyym
Адьас соторутааҕыта сиэртибэлэммит сибиэһэй уҥуохтар кытта бааллара.,neutral,kyym
